***************** properties *****************
"requestdistribution"="zipfian"
"operationcount"="5000000"
"readproportion"="0"
"readallfields"="true"
"insertproportion"="0"
"threadcount"="512"
"updateproportion"="1"
"scanproportion"="0"
"dotransactions"="true"
"recordcount"="1200000"
"workload"="core"
"tikv.pd"="10.0.0.9:2379"
**********************************************
UPDATE - Takes(s): 9.6, Count: 58750, OPS: 6120.6, Avg(us): 86771, Min(us): 21667, Max(us): 564500, 99th(us): 187000, 99.9th(us): 448000, 99.99th(us): 520000
UPDATE - Takes(s): 19.6, Count: 117595, OPS: 6000.1, Avg(us): 86884, Min(us): 21667, Max(us): 1031969, 99th(us): 181000, 99.9th(us): 1007000, 99.99th(us): 1013000
UPDATE - Takes(s): 29.6, Count: 178675, OPS: 6036.5, Avg(us): 84603, Min(us): 19116, Max(us): 1031969, 99th(us): 185000, 99.9th(us): 1004000, 99.99th(us): 1012000
UPDATE - Takes(s): 39.6, Count: 218773, OPS: 5524.8, Avg(us): 93479, Min(us): 19116, Max(us): 1031969, 99th(us): 437000, 99.9th(us): 1003000, 99.99th(us): 1011000
UPDATE - Takes(s): 49.6, Count: 281857, OPS: 5682.7, Avg(us): 90271, Min(us): 19116, Max(us): 1031969, 99th(us): 388000, 99.9th(us): 1001000, 99.99th(us): 1011000
UPDATE - Takes(s): 59.6, Count: 337369, OPS: 5660.7, Avg(us): 90982, Min(us): 19116, Max(us): 1031969, 99th(us): 503000, 99.9th(us): 990000, 99.99th(us): 1011000
UPDATE - Takes(s): 69.6, Count: 396746, OPS: 5700.5, Avg(us): 90257, Min(us): 19116, Max(us): 1031969, 99th(us): 503000, 99.9th(us): 983000, 99.99th(us): 1011000
UPDATE - Takes(s): 79.6, Count: 454389, OPS: 5708.5, Avg(us): 90075, Min(us): 19116, Max(us): 1031969, 99th(us): 497000, 99.9th(us): 978000, 99.99th(us): 1010000
UPDATE - Takes(s): 89.6, Count: 514878, OPS: 5746.5, Avg(us): 89441, Min(us): 19116, Max(us): 1031969, 99th(us): 441000, 99.9th(us): 921000, 99.99th(us): 1010000
UPDATE - Takes(s): 99.6, Count: 575523, OPS: 5778.4, Avg(us): 88917, Min(us): 19116, Max(us): 1031969, 99th(us): 435000, 99.9th(us): 895000, 99.99th(us): 1010000
UPDATE - Takes(s): 109.6, Count: 638801, OPS: 5828.5, Avg(us): 88105, Min(us): 19116, Max(us): 1031969, 99th(us): 410000, 99.9th(us): 877000, 99.99th(us): 1010000
