***************** properties *****************
"operationcount"="500000"
"updateproportion"="1"
"insertproportion"="0"
"threadcount"="1"
"workload"="core"
"recordcount"="500000"
"scanproportion"="0"
"readallfields"="true"
"dotransactions"="true"
"readproportion"="0"
"requestdistribution"="zipfian"
"tikv.pd"="10.0.0.9:2379"
**********************************************
UPDATE - Takes(s): 9.8, Count: 867, OPS: 88.7, Avg(us): 11506, Min(us): 6140, Max(us): 220735, 99th(us): 40000, 99.9th(us): 221000, 99.99th(us): 221000
UPDATE - Takes(s): 19.8, Count: 1650, OPS: 83.4, Avg(us): 12095, Min(us): 6107, Max(us): 230092, 99th(us): 42000, 99.9th(us): 193000, 99.99th(us): 221000
UPDATE - Takes(s): 29.8, Count: 2331, OPS: 78.3, Avg(us): 12847, Min(us): 6107, Max(us): 230092, 99th(us): 50000, 99.9th(us): 221000, 99.99th(us): 231000
UPDATE - Takes(s): 39.8, Count: 2922, OPS: 73.5, Avg(us): 13666, Min(us): 6107, Max(us): 230092, 99th(us): 53000, 99.9th(us): 221000, 99.99th(us): 231000
UPDATE - Takes(s): 49.8, Count: 3586, OPS: 72.0, Avg(us): 13920, Min(us): 6107, Max(us): 230092, 99th(us): 56000, 99.9th(us): 211000, 99.99th(us): 231000
UPDATE - Takes(s): 59.8, Count: 4187, OPS: 70.0, Avg(us): 14307, Min(us): 6107, Max(us): 254413, 99th(us): 58000, 99.9th(us): 211000, 99.99th(us): 255000
UPDATE - Takes(s): 69.8, Count: 4808, OPS: 68.9, Avg(us): 14536, Min(us): 6060, Max(us): 254413, 99th(us): 59000, 99.9th(us): 221000, 99.99th(us): 255000
UPDATE - Takes(s): 79.8, Count: 5408, OPS: 67.8, Avg(us): 14769, Min(us): 6055, Max(us): 254413, 99th(us): 62000, 99.9th(us): 211000, 99.99th(us): 255000
UPDATE - Takes(s): 89.8, Count: 5914, OPS: 65.9, Avg(us): 15185, Min(us): 6055, Max(us): 254413, 99th(us): 63000, 99.9th(us): 221000, 99.99th(us): 255000
UPDATE - Takes(s): 99.8, Count: 6370, OPS: 63.8, Avg(us): 15672, Min(us): 6055, Max(us): 254413, 99th(us): 67000, 99.9th(us): 211000, 99.99th(us): 255000
UPDATE - Takes(s): 109.8, Count: 6852, OPS: 62.4, Avg(us): 16031, Min(us): 6055, Max(us): 254413, 99th(us): 67000, 99.9th(us): 211000, 99.99th(us): 255000
