***************** properties *****************
"threadcount"="1"
"workload"="core"
"insertproportion"="0"
"operationcount"="500000"
"readallfields"="true"
"requestdistribution"="zipfian"
"updateproportion"="1"
"tikv.pd"="10.0.0.9:2379"
"dotransactions"="true"
"scanproportion"="0"
"readproportion"="0"
"recordcount"="500000"
**********************************************
UPDATE - Takes(s): 9.8, Count: 905, OPS: 92.1, Avg(us): 11021, Min(us): 6334, Max(us): 206274, 99th(us): 20000, 99.9th(us): 207000, 99.99th(us): 207000
UPDATE - Takes(s): 19.8, Count: 1791, OPS: 90.4, Avg(us): 11141, Min(us): 6307, Max(us): 206274, 99th(us): 19000, 99.9th(us): 179000, 99.99th(us): 207000
UPDATE - Takes(s): 29.8, Count: 2710, OPS: 90.9, Avg(us): 11043, Min(us): 6307, Max(us): 206274, 99th(us): 18000, 99.9th(us): 34000, 99.99th(us): 207000
UPDATE - Takes(s): 39.8, Count: 3652, OPS: 91.7, Avg(us): 10927, Min(us): 6307, Max(us): 206274, 99th(us): 18000, 99.9th(us): 30000, 99.99th(us): 207000
UPDATE - Takes(s): 49.8, Count: 4562, OPS: 91.6, Avg(us): 10937, Min(us): 6307, Max(us): 206274, 99th(us): 18000, 99.9th(us): 26000, 99.99th(us): 207000
UPDATE - Takes(s): 59.8, Count: 5495, OPS: 91.9, Avg(us): 10893, Min(us): 6307, Max(us): 206274, 99th(us): 18000, 99.9th(us): 27000, 99.99th(us): 207000
UPDATE - Takes(s): 69.8, Count: 6394, OPS: 91.6, Avg(us): 10924, Min(us): 6307, Max(us): 206274, 99th(us): 19000, 99.9th(us): 29000, 99.99th(us): 207000
UPDATE - Takes(s): 79.8, Count: 7293, OPS: 91.4, Avg(us): 10945, Min(us): 5850, Max(us): 223822, 99th(us): 19000, 99.9th(us): 30000, 99.99th(us): 224000
UPDATE - Takes(s): 89.8, Count: 8216, OPS: 91.5, Avg(us): 10931, Min(us): 5850, Max(us): 223822, 99th(us): 19000, 99.9th(us): 30000, 99.99th(us): 224000
UPDATE - Takes(s): 99.8, Count: 9132, OPS: 91.5, Avg(us): 10927, Min(us): 5850, Max(us): 223822, 99th(us): 20000, 99.9th(us): 29000, 99.99th(us): 224000
UPDATE - Takes(s): 109.8, Count: 9996, OPS: 91.0, Avg(us): 10981, Min(us): 5850, Max(us): 223822, 99th(us): 20000, 99.9th(us): 33000, 99.99th(us): 224000
UPDATE - Takes(s): 119.8, Count: 10904, OPS: 91.0, Avg(us): 10982, Min(us): 5850, Max(us): 223822, 99th(us): 20000, 99.9th(us): 33000, 99.99th(us): 207000
UPDATE - Takes(s): 129.8, Count: 11850, OPS: 91.3, Avg(us): 10948, Min(us): 5850, Max(us): 223822, 99th(us): 20000, 99.9th(us): 32000, 99.99th(us): 207000
UPDATE - Takes(s): 139.8, Count: 12769, OPS: 91.3, Avg(us): 10941, Min(us): 5850, Max(us): 223822, 99th(us): 20000, 99.9th(us): 30000, 99.99th(us): 207000
UPDATE - Takes(s): 149.8, Count: 13627, OPS: 91.0, Avg(us): 10985, Min(us): 5850, Max(us): 223822, 99th(us): 20000, 99.9th(us): 30000, 99.99th(us): 207000
UPDATE - Takes(s): 159.8, Count: 14504, OPS: 90.8, Avg(us): 11008, Min(us): 5850, Max(us): 223822, 99th(us): 20000, 99.9th(us): 29000, 99.99th(us): 207000
UPDATE - Takes(s): 169.8, Count: 15336, OPS: 90.3, Avg(us): 11062, Min(us): 5850, Max(us): 223822, 99th(us): 20000, 99.9th(us): 29000, 99.99th(us): 207000
UPDATE - Takes(s): 179.8, Count: 16172, OPS: 89.9, Avg(us): 11107, Min(us): 5850, Max(us): 223822, 99th(us): 21000, 99.9th(us): 30000, 99.99th(us): 207000
UPDATE - Takes(s): 189.8, Count: 17077, OPS: 90.0, Avg(us): 11103, Min(us): 5850, Max(us): 223822, 99th(us): 21000, 99.9th(us): 30000, 99.99th(us): 207000
UPDATE - Takes(s): 199.8, Count: 18006, OPS: 90.1, Avg(us): 11084, Min(us): 5850, Max(us): 223822, 99th(us): 21000, 99.9th(us): 30000, 99.99th(us): 207000
UPDATE - Takes(s): 209.8, Count: 18830, OPS: 89.7, Avg(us): 11129, Min(us): 5850, Max(us): 223822, 99th(us): 21000, 99.9th(us): 30000, 99.99th(us): 207000
