***************** properties *****************
"insertproportion"="0"
"tikv.pd"="10.0.0.9:2379"
"threadcount"="1"
"workload"="core"
"readallfields"="true"
"operationcount"="500000"
"readproportion"="0"
"updateproportion"="1"
"requestdistribution"="zipfian"
"dotransactions"="true"
"recordcount"="500000"
"scanproportion"="0"
**********************************************
UPDATE - Takes(s): 9.7, Count: 919, OPS: 94.5, Avg(us): 10853, Min(us): 8158, Max(us): 278008, 99th(us): 16000, 99.9th(us): 279000, 99.99th(us): 279000
UPDATE - Takes(s): 19.7, Count: 1876, OPS: 95.1, Avg(us): 10636, Min(us): 7968, Max(us): 278008, 99th(us): 16000, 99.9th(us): 25000, 99.99th(us): 279000
UPDATE - Takes(s): 29.7, Count: 2834, OPS: 95.3, Avg(us): 10564, Min(us): 6962, Max(us): 278008, 99th(us): 16000, 99.9th(us): 24000, 99.99th(us): 279000
UPDATE - Takes(s): 39.7, Count: 3730, OPS: 93.9, Avg(us): 10702, Min(us): 6962, Max(us): 278008, 99th(us): 16000, 99.9th(us): 23000, 99.99th(us): 279000
UPDATE - Takes(s): 49.7, Count: 4661, OPS: 93.7, Avg(us): 10704, Min(us): 6962, Max(us): 278008, 99th(us): 16000, 99.9th(us): 23000, 99.99th(us): 279000
UPDATE - Takes(s): 59.7, Count: 5579, OPS: 93.4, Avg(us): 10732, Min(us): 6962, Max(us): 278008, 99th(us): 16000, 99.9th(us): 22000, 99.99th(us): 279000
UPDATE - Takes(s): 69.7, Count: 6516, OPS: 93.5, Avg(us): 10720, Min(us): 6962, Max(us): 278008, 99th(us): 16000, 99.9th(us): 22000, 99.99th(us): 279000
UPDATE - Takes(s): 79.7, Count: 7455, OPS: 93.5, Avg(us): 10710, Min(us): 6962, Max(us): 278008, 99th(us): 16000, 99.9th(us): 21000, 99.99th(us): 279000
UPDATE - Takes(s): 89.7, Count: 8397, OPS: 93.6, Avg(us): 10697, Min(us): 6962, Max(us): 278008, 99th(us): 16000, 99.9th(us): 22000, 99.99th(us): 279000
UPDATE - Takes(s): 99.7, Count: 9286, OPS: 93.1, Avg(us): 10747, Min(us): 6962, Max(us): 278008, 99th(us): 16000, 99.9th(us): 23000, 99.99th(us): 279000
UPDATE - Takes(s): 109.7, Count: 10208, OPS: 93.0, Avg(us): 10754, Min(us): 6962, Max(us): 278008, 99th(us): 16000, 99.9th(us): 23000, 99.99th(us): 33000
UPDATE - Takes(s): 119.7, Count: 11140, OPS: 93.0, Avg(us): 10750, Min(us): 6962, Max(us): 278008, 99th(us): 16000, 99.9th(us): 23000, 99.99th(us): 33000
UPDATE - Takes(s): 129.7, Count: 12058, OPS: 93.0, Avg(us): 10759, Min(us): 6962, Max(us): 278008, 99th(us): 16000, 99.9th(us): 23000, 99.99th(us): 33000
UPDATE - Takes(s): 139.7, Count: 13005, OPS: 93.1, Avg(us): 10743, Min(us): 6962, Max(us): 278008, 99th(us): 16000, 99.9th(us): 23000, 99.99th(us): 33000
