***************** properties *****************
"tikv.pd"="10.0.0.9:2379"
"threadcount"="1"
"readproportion"="0"
"updateproportion"="1"
"requestdistribution"="zipfian"
"scanproportion"="0"
"dotransactions"="true"
"insertproportion"="0"
"workload"="core"
"readallfields"="true"
"operationcount"="500000"
"recordcount"="500000"
**********************************************
UPDATE - Takes(s): 9.7, Count: 674, OPS: 69.2, Avg(us): 14812, Min(us): 7550, Max(us): 260114, 99th(us): 32000, 99.9th(us): 261000, 99.99th(us): 261000
UPDATE - Takes(s): 19.7, Count: 1409, OPS: 71.4, Avg(us): 14165, Min(us): 6734, Max(us): 260114, 99th(us): 30000, 99.9th(us): 53000, 99.99th(us): 261000
UPDATE - Takes(s): 29.7, Count: 2254, OPS: 75.8, Avg(us): 13284, Min(us): 6309, Max(us): 260114, 99th(us): 30000, 99.9th(us): 53000, 99.99th(us): 261000
UPDATE - Takes(s): 39.7, Count: 3154, OPS: 79.4, Avg(us): 12651, Min(us): 6309, Max(us): 260114, 99th(us): 26000, 99.9th(us): 53000, 99.99th(us): 261000
UPDATE - Takes(s): 49.7, Count: 4105, OPS: 82.5, Avg(us): 12155, Min(us): 6309, Max(us): 260114, 99th(us): 26000, 99.9th(us): 52000, 99.99th(us): 261000
UPDATE - Takes(s): 59.7, Count: 5035, OPS: 84.3, Avg(us): 11892, Min(us): 6309, Max(us): 260114, 99th(us): 25000, 99.9th(us): 50000, 99.99th(us): 261000
UPDATE - Takes(s): 69.7, Count: 5965, OPS: 85.5, Avg(us): 11711, Min(us): 6309, Max(us): 260114, 99th(us): 24000, 99.9th(us): 50000, 99.99th(us): 261000
UPDATE - Takes(s): 79.7, Count: 6888, OPS: 86.4, Avg(us): 11590, Min(us): 6309, Max(us): 260114, 99th(us): 23000, 99.9th(us): 50000, 99.99th(us): 261000
UPDATE - Takes(s): 89.7, Count: 7815, OPS: 87.1, Avg(us): 11493, Min(us): 6309, Max(us): 260114, 99th(us): 23000, 99.9th(us): 49000, 99.99th(us): 261000
UPDATE - Takes(s): 99.7, Count: 8758, OPS: 87.8, Avg(us): 11395, Min(us): 6309, Max(us): 260114, 99th(us): 23000, 99.9th(us): 49000, 99.99th(us): 261000
UPDATE - Takes(s): 109.7, Count: 9696, OPS: 88.4, Avg(us): 11322, Min(us): 6309, Max(us): 260114, 99th(us): 22000, 99.9th(us): 47000, 99.99th(us): 261000
UPDATE - Takes(s): 119.7, Count: 10604, OPS: 88.6, Avg(us): 11294, Min(us): 6309, Max(us): 260114, 99th(us): 22000, 99.9th(us): 41000, 99.99th(us): 53000
UPDATE - Takes(s): 129.7, Count: 11542, OPS: 89.0, Avg(us): 11240, Min(us): 6309, Max(us): 260114, 99th(us): 22000, 99.9th(us): 41000, 99.99th(us): 53000
UPDATE - Takes(s): 139.7, Count: 12371, OPS: 88.5, Avg(us): 11287, Min(us): 6309, Max(us): 260114, 99th(us): 22000, 99.9th(us): 47000, 99.99th(us): 92000
