***************** properties *****************
"recordcount"="1200000"
"tikv.pd"="10.0.0.5:2379"
"dotransactions"="true"
"scanproportion"="0"
"operationcount"="5000000"
"readallfields"="true"
"readproportion"="0"
"insertproportion"="0"
"threadcount"="512"
"workload"="core"
"updateproportion"="1"
"requestdistribution"="zipfian"
**********************************************
UPDATE - Takes(s): 9.7, Count: 69858, OPS: 7192.8, Avg(us): 72881, Min(us): 20834, Max(us): 401704, 99th(us): 140000, 99.9th(us): 325000, 99.99th(us): 331000
UPDATE - Takes(s): 19.7, Count: 128000, OPS: 6494.6, Avg(us): 79766, Min(us): 14300, Max(us): 1028445, 99th(us): 474000, 99.9th(us): 1001000, 99.99th(us): 1009000
UPDATE - Takes(s): 29.7, Count: 193181, OPS: 6502.6, Avg(us): 78805, Min(us): 14300, Max(us): 1229541, 99th(us): 467000, 99.9th(us): 1194000, 99.99th(us): 1223000
UPDATE - Takes(s): 39.7, Count: 238463, OPS: 6005.3, Avg(us): 85774, Min(us): 14300, Max(us): 1478971, 99th(us): 507000, 99.9th(us): 1222000, 99.99th(us): 1478000
UPDATE - Takes(s): 49.7, Count: 295172, OPS: 5938.0, Avg(us): 86495, Min(us): 14300, Max(us): 1478971, 99th(us): 491000, 99.9th(us): 1297000, 99.99th(us): 1476000
UPDATE - Takes(s): 59.7, Count: 361471, OPS: 6053.9, Avg(us): 84911, Min(us): 14300, Max(us): 1478971, 99th(us): 676000, 99.9th(us): 1293000, 99.99th(us): 1475000
UPDATE - Takes(s): 69.7, Count: 425396, OPS: 6102.5, Avg(us): 83626, Min(us): 11730, Max(us): 1478971, 99th(us): 666000, 99.9th(us): 1331000, 99.99th(us): 1475000
UPDATE - Takes(s): 79.7, Count: 495097, OPS: 6211.2, Avg(us): 82673, Min(us): 11730, Max(us): 1478971, 99th(us): 506000, 99.9th(us): 1319000, 99.99th(us): 1474000
UPDATE - Takes(s): 89.7, Count: 550927, OPS: 6141.3, Avg(us): 83579, Min(us): 11647, Max(us): 1478971, 99th(us): 681000, 99.9th(us): 1395000, 99.99th(us): 1474000
UPDATE - Takes(s): 99.7, Count: 612518, OPS: 6143.1, Avg(us): 83032, Min(us): 11647, Max(us): 1478971, 99th(us): 661000, 99.9th(us): 1357000, 99.99th(us): 1474000
UPDATE - Takes(s): 109.7, Count: 665113, OPS: 6062.5, Avg(us): 84506, Min(us): 11647, Max(us): 1478971, 99th(us): 697000, 99.9th(us): 1338000, 99.99th(us): 1473000
