***************** properties *****************
"readallfields"="true"
"tikv.pd"="10.0.0.5:2379"
"scanproportion"="0"
"dotransactions"="true"
"workload"="core"
"updateproportion"="1"
"readproportion"="0"
"requestdistribution"="zipfian"
"insertproportion"="0"
"operationcount"="5000000"
"threadcount"="512"
"recordcount"="1200000"
**********************************************
UPDATE - Takes(s): 9.7, Count: 69514, OPS: 7157.8, Avg(us): 73468, Min(us): 23610, Max(us): 401462, 99th(us): 322000, 99.9th(us): 394000, 99.99th(us): 401000
UPDATE - Takes(s): 19.7, Count: 126993, OPS: 6442.5, Avg(us): 80412, Min(us): 15705, Max(us): 1749583, 99th(us): 383000, 99.9th(us): 1726000, 99.99th(us): 1744000
UPDATE - Takes(s): 29.7, Count: 192036, OPS: 6463.3, Avg(us): 79654, Min(us): 15410, Max(us): 1749583, 99th(us): 374000, 99.9th(us): 1710000, 99.99th(us): 1742000
UPDATE - Takes(s): 39.7, Count: 240155, OPS: 6047.4, Avg(us): 85215, Min(us): 15410, Max(us): 1749583, 99th(us): 376000, 99.9th(us): 1700000, 99.99th(us): 1740000
UPDATE - Takes(s): 49.7, Count: 292675, OPS: 5887.4, Avg(us): 87276, Min(us): 15410, Max(us): 1749583, 99th(us): 807000, 99.9th(us): 1695000, 99.99th(us): 1741000
UPDATE - Takes(s): 59.7, Count: 358708, OPS: 6007.3, Avg(us): 85581, Min(us): 9936, Max(us): 1749583, 99th(us): 760000, 99.9th(us): 1693000, 99.99th(us): 1740000
UPDATE - Takes(s): 69.7, Count: 412675, OPS: 5919.7, Avg(us): 86804, Min(us): 9936, Max(us): 1749583, 99th(us): 850000, 99.9th(us): 1690000, 99.99th(us): 1740000
UPDATE - Takes(s): 79.7, Count: 479065, OPS: 6009.9, Avg(us): 85428, Min(us): 9936, Max(us): 1749583, 99th(us): 814000, 99.9th(us): 1474000, 99.99th(us): 1737000
UPDATE - Takes(s): 89.7, Count: 535263, OPS: 5966.5, Avg(us): 86057, Min(us): 9936, Max(us): 1749583, 99th(us): 857000, 99.9th(us): 1452000, 99.99th(us): 1737000
UPDATE - Takes(s): 99.7, Count: 603539, OPS: 6052.8, Avg(us): 84797, Min(us): 9936, Max(us): 1749583, 99th(us): 790000, 99.9th(us): 1355000, 99.99th(us): 1737000
UPDATE - Takes(s): 109.7, Count: 657182, OPS: 5990.1, Avg(us): 85456, Min(us): 9936, Max(us): 1749583, 99th(us): 838000, 99.9th(us): 1349000, 99.99th(us): 1736000
UPDATE - Takes(s): 119.7, Count: 686037, OPS: 5730.7, Avg(us): 89525, Min(us): 9936, Max(us): 1749583, 99th(us): 817000, 99.9th(us): 1345000, 99.99th(us): 1736000
UPDATE - Takes(s): 129.7, Count: 725188, OPS: 5590.7, Avg(us): 91731, Min(us): 9936, Max(us): 1749583, 99th(us): 878000, 99.9th(us): 1342000, 99.99th(us): 1736000
UPDATE - Takes(s): 139.7, Count: 793495, OPS: 5679.5, Avg(us): 90294, Min(us): 9936, Max(us): 1749583, 99th(us): 814000, 99.9th(us): 1338000, 99.99th(us): 1735000
UPDATE - Takes(s): 149.7, Count: 839201, OPS: 5605.4, Avg(us): 91484, Min(us): 9936, Max(us): 2534962, 99th(us): 859000, 99.9th(us): 1693000, 99.99th(us): 2519000
UPDATE - Takes(s): 159.7, Count: 905753, OPS: 5671.2, Avg(us): 90419, Min(us): 9936, Max(us): 2534962, 99th(us): 839000, 99.9th(us): 1691000, 99.99th(us): 2520000
UPDATE - Takes(s): 169.7, Count: 963367, OPS: 5676.5, Avg(us): 90326, Min(us): 9936, Max(us): 2534962, 99th(us): 883000, 99.9th(us): 1481000, 99.99th(us): 2519000
UPDATE - Takes(s): 179.7, Count: 1027658, OPS: 5718.4, Avg(us): 89654, Min(us): 9936, Max(us): 2534962, 99th(us): 835000, 99.9th(us): 1456000, 99.99th(us): 2519000
UPDATE - Takes(s): 189.7, Count: 1085135, OPS: 5719.9, Avg(us): 89623, Min(us): 9936, Max(us): 2534962, 99th(us): 880000, 99.9th(us): 1361000, 99.99th(us): 2519000
UPDATE - Takes(s): 199.7, Count: 1130014, OPS: 5658.2, Avg(us): 90444, Min(us): 9936, Max(us): 2534962, 99th(us): 852000, 99.9th(us): 1353000, 99.99th(us): 2519000
UPDATE - Takes(s): 209.7, Count: 1150562, OPS: 5486.4, Avg(us): 93387, Min(us): 9936, Max(us): 2534962, 99th(us): 957000, 99.9th(us): 1709000, 99.99th(us): 2519000
UPDATE - Takes(s): 219.7, Count: 1204243, OPS: 5481.0, Avg(us): 93513, Min(us): 9936, Max(us): 2534962, 99th(us): 880000, 99.9th(us): 1699000, 99.99th(us): 2519000
UPDATE - Takes(s): 229.7, Count: 1253641, OPS: 5457.4, Avg(us): 93644, Min(us): 9936, Max(us): 2534962, 99th(us): 936000, 99.9th(us): 1695000, 99.99th(us): 2519000
UPDATE - Takes(s): 239.7, Count: 1320696, OPS: 5509.5, Avg(us): 93017, Min(us): 9711, Max(us): 2534962, 99th(us): 891000, 99.9th(us): 1691000, 99.99th(us): 2518000
UPDATE - Takes(s): 249.7, Count: 1369298, OPS: 5483.5, Avg(us): 93454, Min(us): 9711, Max(us): 2534962, 99th(us): 920000, 99.9th(us): 1690000, 99.99th(us): 2518000
UPDATE - Takes(s): 259.7, Count: 1432231, OPS: 5514.7, Avg(us): 92922, Min(us): 9711, Max(us): 2534962, 99th(us): 852000, 99.9th(us): 1475000, 99.99th(us): 2518000
UPDATE - Takes(s): 269.7, Count: 1477740, OPS: 5479.0, Avg(us): 93523, Min(us): 9711, Max(us): 2534962, 99th(us): 925000, 99.9th(us): 1621000, 99.99th(us): 2518000
UPDATE - Takes(s): 279.7, Count: 1549581, OPS: 5539.9, Avg(us): 92494, Min(us): 9711, Max(us): 2534962, 99th(us): 878000, 99.9th(us): 1614000, 99.99th(us): 2517000
