***************** properties *****************
"updateproportion"="1"
"recordcount"="1200000"
"dotransactions"="true"
"workload"="core"
"threadcount"="512"
"operationcount"="5000000"
"tikv.pd"="10.0.0.5:2379"
"insertproportion"="0"
"readproportion"="0"
"readallfields"="true"
"scanproportion"="0"
"requestdistribution"="zipfian"
**********************************************
UPDATE - Takes(s): 9.7, Count: 60394, OPS: 6211.2, Avg(us): 84252, Min(us): 21943, Max(us): 349244, 99th(us): 172000, 99.9th(us): 337000, 99.99th(us): 348000
UPDATE - Takes(s): 19.7, Count: 113913, OPS: 5775.3, Avg(us): 89687, Min(us): 20315, Max(us): 1113197, 99th(us): 329000, 99.9th(us): 1050000, 99.99th(us): 1081000
UPDATE - Takes(s): 29.7, Count: 181125, OPS: 6093.6, Avg(us): 84208, Min(us): 20315, Max(us): 1113197, 99th(us): 181000, 99.9th(us): 1023000, 99.99th(us): 1079000
UPDATE - Takes(s): 39.7, Count: 216818, OPS: 5458.2, Avg(us): 94344, Min(us): 20315, Max(us): 1320966, 99th(us): 452000, 99.9th(us): 1061000, 99.99th(us): 1311000
UPDATE - Takes(s): 49.7, Count: 282872, OPS: 5688.9, Avg(us): 90373, Min(us): 20315, Max(us): 1320966, 99th(us): 340000, 99.9th(us): 1052000, 99.99th(us): 1310000
UPDATE - Takes(s): 59.7, Count: 331618, OPS: 5552.5, Avg(us): 92561, Min(us): 20315, Max(us): 1320966, 99th(us): 436000, 99.9th(us): 1201000, 99.99th(us): 1309000
UPDATE - Takes(s): 69.7, Count: 390137, OPS: 5595.4, Avg(us): 91150, Min(us): 20315, Max(us): 1320966, 99th(us): 416000, 99.9th(us): 1183000, 99.99th(us): 1308000
UPDATE - Takes(s): 79.7, Count: 449503, OPS: 5638.2, Avg(us): 91050, Min(us): 17914, Max(us): 1320966, 99th(us): 613000, 99.9th(us): 1158000, 99.99th(us): 1307000
UPDATE - Takes(s): 89.7, Count: 514734, OPS: 5736.9, Avg(us): 89463, Min(us): 17914, Max(us): 1320966, 99th(us): 467000, 99.9th(us): 1135000, 99.99th(us): 1306000
UPDATE - Takes(s): 99.7, Count: 576664, OPS: 5782.6, Avg(us): 88724, Min(us): 16989, Max(us): 1320966, 99th(us): 450000, 99.9th(us): 1120000, 99.99th(us): 1304000
UPDATE - Takes(s): 109.7, Count: 640728, OPS: 5839.5, Avg(us): 87832, Min(us): 16989, Max(us): 1320966, 99th(us): 359000, 99.9th(us): 1089000, 99.99th(us): 1303000
UPDATE - Takes(s): 119.7, Count: 675140, OPS: 5639.1, Avg(us): 90870, Min(us): 16989, Max(us): 1320966, 99th(us): 451000, 99.9th(us): 1079000, 99.99th(us): 1301000
