***************** properties *****************
"workload"="core"
"updateproportion"="1"
"dotransactions"="true"
"readproportion"="0"
"operationcount"="5000000"
"recordcount"="1200000"
"readallfields"="true"
"scanproportion"="0"
"requestdistribution"="zipfian"
"tikv.pd"="10.0.0.5:2379"
"insertproportion"="0"
"threadcount"="512"
**********************************************
UPDATE - Takes(s): 9.7, Count: 44028, OPS: 4550.8, Avg(us): 115737, Min(us): 29555, Max(us): 478469, 99th(us): 340000, 99.9th(us): 441000, 99.99th(us): 448000
UPDATE - Takes(s): 19.7, Count: 86162, OPS: 4379.3, Avg(us): 118587, Min(us): 13468, Max(us): 1076847, 99th(us): 537000, 99.9th(us): 975000, 99.99th(us): 1033000
UPDATE - Takes(s): 29.7, Count: 141211, OPS: 4758.6, Avg(us): 108622, Min(us): 13468, Max(us): 1076847, 99th(us): 375000, 99.9th(us): 961000, 99.99th(us): 1014000
UPDATE - Takes(s): 39.7, Count: 181918, OPS: 4585.2, Avg(us): 112371, Min(us): 13468, Max(us): 1357273, 99th(us): 542000, 99.9th(us): 1302000, 99.99th(us): 1334000
UPDATE - Takes(s): 49.7, Count: 217013, OPS: 4368.7, Avg(us): 117822, Min(us): 13468, Max(us): 1357273, 99th(us): 572000, 99.9th(us): 1299000, 99.99th(us): 1336000
UPDATE - Takes(s): 59.7, Count: 271398, OPS: 4547.9, Avg(us): 113093, Min(us): 13468, Max(us): 1357273, 99th(us): 420000, 99.9th(us): 1292000, 99.99th(us): 1335000
UPDATE - Takes(s): 69.7, Count: 302778, OPS: 4345.5, Avg(us): 118275, Min(us): 6707, Max(us): 1520238, 99th(us): 756000, 99.9th(us): 1435000, 99.99th(us): 1481000
UPDATE - Takes(s): 79.7, Count: 351975, OPS: 4417.6, Avg(us): 116279, Min(us): 6707, Max(us): 1520238, 99th(us): 708000, 99.9th(us): 1431000, 99.99th(us): 1482000
UPDATE - Takes(s): 89.7, Count: 398209, OPS: 4440.6, Avg(us): 115526, Min(us): 6707, Max(us): 1520238, 99th(us): 718000, 99.9th(us): 1423000, 99.99th(us): 1481000
UPDATE - Takes(s): 99.7, Count: 440208, OPS: 4416.4, Avg(us): 116239, Min(us): 6707, Max(us): 1520238, 99th(us): 791000, 99.9th(us): 1419000, 99.99th(us): 1478000
UPDATE - Takes(s): 109.7, Count: 493938, OPS: 4503.6, Avg(us): 113967, Min(us): 6707, Max(us): 1520238, 99th(us): 727000, 99.9th(us): 1413000, 99.99th(us): 1474000
UPDATE - Takes(s): 119.7, Count: 535759, OPS: 4476.8, Avg(us): 114612, Min(us): 6707, Max(us): 1520238, 99th(us): 799000, 99.9th(us): 1409000, 99.99th(us): 1472000
