***************** properties *****************
"dotransactions"="true"
"threadcount"="512"
"readproportion"="0"
"requestdistribution"="zipfian"
"operationcount"="5000000"
"scanproportion"="0"
"insertproportion"="0"
"readallfields"="true"
"tikv.pd"="10.0.0.5:2379"
"recordcount"="1200000"
"updateproportion"="1"
"workload"="core"
**********************************************
UPDATE - Takes(s): 8.2, Count: 2469, OPS: 300.7, Avg(us): 1707509, Min(us): 6782, Max(us): 5689778, 99th(us): 4600000, 99.9th(us): 5510000, 99.99th(us): 5571000
UPDATE - Takes(s): 18.2, Count: 4814, OPS: 264.3, Avg(us): 1888488, Min(us): 6782, Max(us): 7639514, 99th(us): 5929000, 99.9th(us): 6886000, 99.99th(us): 7640000
UPDATE - Takes(s): 28.2, Count: 7448, OPS: 264.0, Avg(us): 1963835, Min(us): 6782, Max(us): 9253506, 99th(us): 6134000, 99.9th(us): 7301000, 99.99th(us): 9254000
UPDATE - Takes(s): 38.2, Count: 9800, OPS: 256.5, Avg(us): 1993520, Min(us): 6782, Max(us): 9253506, 99th(us): 6199000, 99.9th(us): 7378000, 99.99th(us): 9254000
UPDATE - Takes(s): 48.2, Count: 12191, OPS: 252.9, Avg(us): 1989739, Min(us): 6728, Max(us): 9404101, 99th(us): 6287000, 99.9th(us): 7381000, 99.99th(us): 9254000
UPDATE - Takes(s): 58.2, Count: 14833, OPS: 254.8, Avg(us): 2008857, Min(us): 6728, Max(us): 9404101, 99th(us): 6377000, 99.9th(us): 7774000, 99.99th(us): 9359000
UPDATE - Takes(s): 68.2, Count: 17647, OPS: 258.7, Avg(us): 1980503, Min(us): 6728, Max(us): 9404101, 99th(us): 6338000, 99.9th(us): 7745000, 99.99th(us): 9359000
UPDATE - Takes(s): 78.2, Count: 20177, OPS: 258.0, Avg(us): 1984339, Min(us): 6728, Max(us): 9404101, 99th(us): 6391000, 99.9th(us): 7811000, 99.99th(us): 9254000
UPDATE - Takes(s): 88.2, Count: 22649, OPS: 256.7, Avg(us): 1979778, Min(us): 6728, Max(us): 10708422, 99th(us): 6420000, 99.9th(us): 7901000, 99.99th(us): 9359000
UPDATE - Takes(s): 98.2, Count: 25501, OPS: 259.6, Avg(us): 1973426, Min(us): 6728, Max(us): 10708422, 99th(us): 6513000, 99.9th(us): 8282000, 99.99th(us): 9405000
UPDATE - Takes(s): 108.2, Count: 28331, OPS: 261.8, Avg(us): 1961455, Min(us): 6728, Max(us): 10708422, 99th(us): 6505000, 99.9th(us): 8209000, 99.99th(us): 9405000
