***************** properties *****************
"scanproportion"="0"
"tikv.pd"="10.0.0.5:2379"
"requestdistribution"="zipfian"
"recordcount"="1200000"
"updateproportion"="1"
"readallfields"="true"
"threadcount"="512"
"insertproportion"="0"
"dotransactions"="true"
"operationcount"="5000000"
"workload"="core"
"readproportion"="0"
**********************************************
UPDATE - Takes(s): 8.2, Count: 2501, OPS: 306.2, Avg(us): 1746473, Min(us): 6637, Max(us): 5581010, 99th(us): 4849000, 99.9th(us): 5432000, 99.99th(us): 5582000
UPDATE - Takes(s): 18.2, Count: 5057, OPS: 278.4, Avg(us): 1849693, Min(us): 6259, Max(us): 6602901, 99th(us): 5377000, 99.9th(us): 6509000, 99.99th(us): 6603000
UPDATE - Takes(s): 28.2, Count: 8124, OPS: 288.4, Avg(us): 1824562, Min(us): 6259, Max(us): 8768268, 99th(us): 5762000, 99.9th(us): 7428000, 99.99th(us): 8769000
UPDATE - Takes(s): 38.2, Count: 11029, OPS: 289.0, Avg(us): 1785975, Min(us): 6259, Max(us): 8768268, 99th(us): 5762000, 99.9th(us): 7249000, 99.99th(us): 8332000
UPDATE - Takes(s): 48.2, Count: 13632, OPS: 283.0, Avg(us): 1809357, Min(us): 6259, Max(us): 8768268, 99th(us): 5962000, 99.9th(us): 7486000, 99.99th(us): 8521000
UPDATE - Takes(s): 58.2, Count: 16334, OPS: 280.8, Avg(us): 1845037, Min(us): 6259, Max(us): 9835627, 99th(us): 6183000, 99.9th(us): 8224000, 99.99th(us): 9233000
UPDATE - Takes(s): 68.2, Count: 19286, OPS: 282.9, Avg(us): 1825447, Min(us): 6259, Max(us): 9835627, 99th(us): 6112000, 99.9th(us): 8073000, 99.99th(us): 9233000
UPDATE - Takes(s): 78.2, Count: 22546, OPS: 288.4, Avg(us): 1781829, Min(us): 6259, Max(us): 9835627, 99th(us): 6014000, 99.9th(us): 7891000, 99.99th(us): 8659000
UPDATE - Takes(s): 88.2, Count: 25872, OPS: 293.4, Avg(us): 1753215, Min(us): 6259, Max(us): 9835627, 99th(us): 5972000, 99.9th(us): 7810000, 99.99th(us): 8769000
UPDATE - Takes(s): 98.2, Count: 29064, OPS: 296.1, Avg(us): 1729173, Min(us): 6259, Max(us): 9835627, 99th(us): 5913000, 99.9th(us): 7740000, 99.99th(us): 8769000
UPDATE - Takes(s): 108.2, Count: 32714, OPS: 302.4, Avg(us): 1699104, Min(us): 6259, Max(us): 9835627, 99th(us): 5872000, 99.9th(us): 7710000, 99.99th(us): 8659000
