***************** properties *****************
"readallfields"="true"
"readproportion"="0"
"dotransactions"="true"
"insertproportion"="0"
"updateproportion"="1"
"requestdistribution"="zipfian"
"workload"="core"
"recordcount"="1200000"
"operationcount"="5000000"
"tikv.pd"="10.0.0.5:2379"
"scanproportion"="0"
"threadcount"="512"
**********************************************
UPDATE - Takes(s): 8.3, Count: 3382, OPS: 408.5, Avg(us): 1323112, Min(us): 7405, Max(us): 4241637, 99th(us): 3963000, 99.9th(us): 4210000, 99.99th(us): 4242000
UPDATE - Takes(s): 18.3, Count: 7494, OPS: 410.0, Avg(us): 1275808, Min(us): 7388, Max(us): 5259698, 99th(us): 3945000, 99.9th(us): 4549000, 99.99th(us): 5260000
UPDATE - Takes(s): 28.3, Count: 11863, OPS: 419.5, Avg(us): 1246129, Min(us): 7036, Max(us): 5695541, 99th(us): 3968000, 99.9th(us): 4851000, 99.99th(us): 5260000
UPDATE - Takes(s): 38.3, Count: 16056, OPS: 419.4, Avg(us): 1241219, Min(us): 7036, Max(us): 6440247, 99th(us): 4136000, 99.9th(us): 5154000, 99.99th(us): 6022000
UPDATE - Takes(s): 48.3, Count: 20341, OPS: 421.3, Avg(us): 1226737, Min(us): 6952, Max(us): 6588939, 99th(us): 4179000, 99.9th(us): 5174000, 99.99th(us): 6022000
UPDATE - Takes(s): 58.3, Count: 24876, OPS: 426.8, Avg(us): 1209858, Min(us): 6952, Max(us): 6588939, 99th(us): 4188000, 99.9th(us): 5260000, 99.99th(us): 6059000
UPDATE - Takes(s): 68.3, Count: 29738, OPS: 435.5, Avg(us): 1191510, Min(us): 6952, Max(us): 6588939, 99th(us): 4196000, 99.9th(us): 5306000, 99.99th(us): 6441000
UPDATE - Takes(s): 78.3, Count: 34506, OPS: 440.8, Avg(us): 1169254, Min(us): 6952, Max(us): 6588939, 99th(us): 4162000, 99.9th(us): 5227000, 99.99th(us): 6121000
UPDATE - Takes(s): 88.3, Count: 39451, OPS: 446.9, Avg(us): 1154584, Min(us): 6952, Max(us): 6588939, 99th(us): 4161000, 99.9th(us): 5221000, 99.99th(us): 6441000
UPDATE - Takes(s): 98.3, Count: 44276, OPS: 450.5, Avg(us): 1147478, Min(us): 6496, Max(us): 6588939, 99th(us): 4153000, 99.9th(us): 5174000, 99.99th(us): 6121000
UPDATE - Takes(s): 108.3, Count: 48803, OPS: 450.7, Avg(us): 1141850, Min(us): 6496, Max(us): 6862632, 99th(us): 4142000, 99.9th(us): 5080000, 99.99th(us): 5449000
UPDATE - Takes(s): 118.3, Count: 53940, OPS: 456.0, Avg(us): 1131086, Min(us): 6496, Max(us): 6862632, 99th(us): 4153000, 99.9th(us): 5227000, 99.99th(us): 6121000
UPDATE - Takes(s): 128.3, Count: 59277, OPS: 462.1, Avg(us): 1113040, Min(us): 6496, Max(us): 6862632, 99th(us): 4131000, 99.9th(us): 5168000, 99.99th(us): 6121000
UPDATE - Takes(s): 138.3, Count: 64166, OPS: 464.0, Avg(us): 1107090, Min(us): 6496, Max(us): 6862632, 99th(us): 4162000, 99.9th(us): 5306000, 99.99th(us): 6128000
UPDATE - Takes(s): 148.3, Count: 69552, OPS: 469.1, Avg(us): 1096505, Min(us): 6496, Max(us): 6862632, 99th(us): 4144000, 99.9th(us): 5275000, 99.99th(us): 6128000
