***************** properties *****************
"requestdistribution"="zipfian"
"recordcount"="1200000"
"workload"="core"
"insertproportion"="0"
"tikv.pd"="10.0.0.5:2379"
"dotransactions"="true"
"scanproportion"="0"
"operationcount"="5000000"
"updateproportion"="1"
"threadcount"="512"
"readallfields"="true"
"readproportion"="0"
**********************************************
UPDATE - Takes(s): 9.6, Count: 13754, OPS: 1438.7, Avg(us): 362726, Min(us): 6561, Max(us): 1005845, 99th(us): 824000, 99.9th(us): 931000, 99.99th(us): 1006000
UPDATE - Takes(s): 19.6, Count: 19000, OPS: 971.4, Avg(us): 532998, Min(us): 6561, Max(us): 3262827, 99th(us): 2748000, 99.9th(us): 3143000, 99.99th(us): 3263000
UPDATE - Takes(s): 29.6, Count: 25710, OPS: 869.7, Avg(us): 587026, Min(us): 6067, Max(us): 3262827, 99th(us): 2628000, 99.9th(us): 3117000, 99.99th(us): 3207000
UPDATE - Takes(s): 39.6, Count: 30923, OPS: 781.7, Avg(us): 653155, Min(us): 6067, Max(us): 3262827, 99th(us): 2518000, 99.9th(us): 3111000, 99.99th(us): 3205000
UPDATE - Takes(s): 49.6, Count: 35688, OPS: 720.1, Avg(us): 708543, Min(us): 6034, Max(us): 3262827, 99th(us): 2444000, 99.9th(us): 3099000, 99.99th(us): 3205000
UPDATE - Takes(s): 59.6, Count: 39842, OPS: 668.9, Avg(us): 762798, Min(us): 5771, Max(us): 3262827, 99th(us): 2391000, 99.9th(us): 3088000, 99.99th(us): 3205000
UPDATE - Takes(s): 69.6, Count: 43927, OPS: 631.5, Avg(us): 807253, Min(us): 5771, Max(us): 3332407, 99th(us): 2400000, 99.9th(us): 3080000, 99.99th(us): 3205000
UPDATE - Takes(s): 79.6, Count: 47932, OPS: 602.5, Avg(us): 845745, Min(us): 5771, Max(us): 3332407, 99th(us): 2391000, 99.9th(us): 3074000, 99.99th(us): 3207000
UPDATE - Takes(s): 89.6, Count: 51710, OPS: 577.4, Avg(us): 882831, Min(us): 5746, Max(us): 3332407, 99th(us): 2413000, 99.9th(us): 3069000, 99.99th(us): 3205000
UPDATE - Takes(s): 99.6, Count: 55283, OPS: 555.3, Avg(us): 915701, Min(us): 5746, Max(us): 3977221, 99th(us): 2508000, 99.9th(us): 3204000, 99.99th(us): 3824000
UPDATE - Takes(s): 109.6, Count: 58810, OPS: 536.8, Avg(us): 942287, Min(us): 5746, Max(us): 3977221, 99th(us): 2792000, 99.9th(us): 3445000, 99.99th(us): 3824000
UPDATE - Takes(s): 119.6, Count: 61595, OPS: 515.2, Avg(us): 985175, Min(us): 5746, Max(us): 6506433, 99th(us): 3426000, 99.9th(us): 4962000, 99.99th(us): 6156000
UPDATE - Takes(s): 129.6, Count: 63656, OPS: 491.3, Avg(us): 1027371, Min(us): 5746, Max(us): 9722151, 99th(us): 4109000, 99.9th(us): 6801000, 99.99th(us): 9707000
UPDATE - Takes(s): 139.6, Count: 66149, OPS: 474.0, Avg(us): 1066794, Min(us): 5746, Max(us): 9722151, 99th(us): 4507000, 99.9th(us): 8468000, 99.99th(us): 9707000
UPDATE - Takes(s): 149.6, Count: 68192, OPS: 455.9, Avg(us): 1103295, Min(us): 5746, Max(us): 9722151, 99th(us): 5128000, 99.9th(us): 8457000, 99.99th(us): 9707000
UPDATE - Takes(s): 159.6, Count: 70072, OPS: 439.2, Avg(us): 1152832, Min(us): 5746, Max(us): 12718646, 99th(us): 5958000, 99.9th(us): 9354000, 99.99th(us): 12672000
