***************** properties *****************
"updateproportion"="1"
"operationcount"="5000000"
"scanproportion"="0"
"requestdistribution"="zipfian"
"readallfields"="true"
"dotransactions"="true"
"readproportion"="0"
"workload"="core"
"recordcount"="1200000"
"insertproportion"="0"
"tikv.pd"="10.0.0.5:2379"
"threadcount"="512"
**********************************************
UPDATE - Takes(s): 9.5, Count: 6661, OPS: 699.1, Avg(us): 88058, Min(us): 8954, Max(us): 760813, 99th(us): 743000, 99.9th(us): 758000, 99.99th(us): 761000
UPDATE - Takes(s): 19.5, Count: 25472, OPS: 1304.3, Avg(us): 301232, Min(us): 8746, Max(us): 12339680, 99th(us): 11257000, 99.9th(us): 12333000, 99.99th(us): 12340000
UPDATE - Takes(s): 29.5, Count: 30557, OPS: 1034.8, Avg(us): 501879, Min(us): 8746, Max(us): 14812802, 99th(us): 14120000, 99.9th(us): 14713000, 99.99th(us): 14806000
UPDATE - Takes(s): 39.5, Count: 43793, OPS: 1107.9, Avg(us): 371626, Min(us): 8452, Max(us): 14812802, 99th(us): 13718000, 99.9th(us): 14675000, 99.99th(us): 14806000
UPDATE - Takes(s): 49.5, Count: 61554, OPS: 1242.8, Avg(us): 400715, Min(us): 8452, Max(us): 14917629, 99th(us): 14176000, 99.9th(us): 14785000, 99.99th(us): 14906000
UPDATE - Takes(s): 59.5, Count: 61629, OPS: 1035.3, Avg(us): 400951, Min(us): 8452, Max(us): 14917629, 99th(us): 14175000, 99.9th(us): 14785000, 99.99th(us): 14906000
UPDATE - Takes(s): 69.5, Count: 78081, OPS: 1123.0, Avg(us): 426822, Min(us): 8452, Max(us): 14989826, 99th(us): 14341000, 99.9th(us): 14866000, 99.99th(us): 14982000
UPDATE - Takes(s): 79.5, Count: 82961, OPS: 1043.2, Avg(us): 492366, Min(us): 8452, Max(us): 14989826, 99th(us): 14445000, 99.9th(us): 14883000, 99.99th(us): 14964000
UPDATE - Takes(s): 89.5, Count: 94537, OPS: 1055.9, Avg(us): 441292, Min(us): 8193, Max(us): 14989826, 99th(us): 14402000, 99.9th(us): 14866000, 99.99th(us): 14979000
UPDATE - Takes(s): 99.5, Count: 114092, OPS: 1146.3, Avg(us): 440140, Min(us): 8193, Max(us): 14989826, 99th(us): 14405000, 99.9th(us): 14850000, 99.99th(us): 14961000
UPDATE - Takes(s): 109.5, Count: 114096, OPS: 1041.7, Avg(us): 440124, Min(us): 8193, Max(us): 14989826, 99th(us): 14405000, 99.9th(us): 14850000, 99.99th(us): 14964000
UPDATE - Takes(s): 119.5, Count: 132135, OPS: 1105.5, Avg(us): 444728, Min(us): 7313, Max(us): 15040786, 99th(us): 14450000, 99.9th(us): 14911000, 99.99th(us): 15029000
UPDATE - Takes(s): 129.5, Count: 139641, OPS: 1078.1, Avg(us): 476404, Min(us): 7313, Max(us): 15040786, 99th(us): 14474000, 99.9th(us): 14911000, 99.99th(us): 15029000
