***************** properties *****************
"updateproportion"="1"
"insertproportion"="0"
"recordcount"="1200000"
"operationcount"="5000000"
"threadcount"="512"
"scanproportion"="0"
"requestdistribution"="zipfian"
"readallfields"="true"
"readproportion"="0"
"dotransactions"="true"
"workload"="core"
"tikv.pd"="10.0.0.5:2379"
**********************************************
UPDATE - Takes(s): 9.6, Count: 51113, OPS: 5299.1, Avg(us): 99536, Min(us): 21850, Max(us): 456807, 99th(us): 317000, 99.9th(us): 443000, 99.99th(us): 454000
UPDATE - Takes(s): 19.6, Count: 104045, OPS: 5296.1, Avg(us): 98154, Min(us): 18975, Max(us): 1024006, 99th(us): 310000, 99.9th(us): 952000, 99.99th(us): 1008000
UPDATE - Takes(s): 29.6, Count: 165193, OPS: 5572.2, Avg(us): 92815, Min(us): 18975, Max(us): 1024006, 99th(us): 226000, 99.9th(us): 947000, 99.99th(us): 1005000
UPDATE - Takes(s): 39.6, Count: 203302, OPS: 5128.0, Avg(us): 100394, Min(us): 18975, Max(us): 1024006, 99th(us): 409000, 99.9th(us): 946000, 99.99th(us): 1000000
UPDATE - Takes(s): 49.6, Count: 258045, OPS: 5197.7, Avg(us): 99091, Min(us): 18336, Max(us): 1024006, 99th(us): 328000, 99.9th(us): 940000, 99.99th(us): 999000
UPDATE - Takes(s): 59.6, Count: 310409, OPS: 5204.2, Avg(us): 98864, Min(us): 18336, Max(us): 1024006, 99th(us): 326000, 99.9th(us): 937000, 99.99th(us): 991000
UPDATE - Takes(s): 69.6, Count: 369817, OPS: 5310.0, Avg(us): 96848, Min(us): 18336, Max(us): 1024006, 99th(us): 282000, 99.9th(us): 932000, 99.99th(us): 989000
UPDATE - Takes(s): 79.6, Count: 425185, OPS: 5338.5, Avg(us): 96016, Min(us): 18336, Max(us): 1024006, 99th(us): 282000, 99.9th(us): 896000, 99.99th(us): 987000
UPDATE - Takes(s): 89.6, Count: 482841, OPS: 5386.1, Avg(us): 95364, Min(us): 18336, Max(us): 1024006, 99th(us): 279000, 99.9th(us): 890000, 99.99th(us): 986000
UPDATE - Takes(s): 99.6, Count: 538755, OPS: 5406.7, Avg(us): 94973, Min(us): 18336, Max(us): 1024006, 99th(us): 297000, 99.9th(us): 885000, 99.99th(us): 986000
UPDATE - Takes(s): 109.6, Count: 594845, OPS: 5425.1, Avg(us): 94629, Min(us): 17644, Max(us): 1024006, 99th(us): 294000, 99.9th(us): 890000, 99.99th(us): 957000
UPDATE - Takes(s): 119.6, Count: 648066, OPS: 5416.5, Avg(us): 94745, Min(us): 17644, Max(us): 1024006, 99th(us): 312000, 99.9th(us): 888000, 99.99th(us): 984000
UPDATE - Takes(s): 129.6, Count: 681410, OPS: 5255.9, Avg(us): 97592, Min(us): 17644, Max(us): 1024006, 99th(us): 322000, 99.9th(us): 889000, 99.99th(us): 975000
UPDATE - Takes(s): 139.6, Count: 735618, OPS: 5267.7, Avg(us): 97392, Min(us): 17644, Max(us): 1024006, 99th(us): 307000, 99.9th(us): 886000, 99.99th(us): 972000
UPDATE - Takes(s): 149.6, Count: 792753, OPS: 5297.5, Avg(us): 96826, Min(us): 17644, Max(us): 1024006, 99th(us): 306000, 99.9th(us): 881000, 99.99th(us): 956000
UPDATE - Takes(s): 159.6, Count: 852229, OPS: 5338.2, Avg(us): 96081, Min(us): 17644, Max(us): 1024006, 99th(us): 305000, 99.9th(us): 879000, 99.99th(us): 957000
