***************** properties *****************
"insertproportion"="0"
"recordcount"="1200000"
"readallfields"="true"
"updateproportion"="1"
"threadcount"="512"
"dotransactions"="true"
"workload"="core"
"tikv.pd"="10.0.0.5:2379"
"scanproportion"="0"
"requestdistribution"="zipfian"
"readproportion"="0"
"operationcount"="5000000"
**********************************************
UPDATE - Takes(s): 9.8, Count: 72714, OPS: 7451.3, Avg(us): 68585, Min(us): 16774, Max(us): 348814, 99th(us): 125000, 99.9th(us): 335000, 99.99th(us): 348000
UPDATE - Takes(s): 19.8, Count: 144112, OPS: 7293.7, Avg(us): 70940, Min(us): 14868, Max(us): 989650, 99th(us): 294000, 99.9th(us): 960000, 99.99th(us): 985000
UPDATE - Takes(s): 29.8, Count: 200392, OPS: 6733.9, Avg(us): 76403, Min(us): 14868, Max(us): 989650, 99th(us): 416000, 99.9th(us): 948000, 99.99th(us): 984000
UPDATE - Takes(s): 39.8, Count: 271852, OPS: 6837.5, Avg(us): 75254, Min(us): 14868, Max(us): 989650, 99th(us): 301000, 99.9th(us): 934000, 99.99th(us): 983000
UPDATE - Takes(s): 49.8, Count: 344568, OPS: 6924.8, Avg(us): 74238, Min(us): 14817, Max(us): 989650, 99th(us): 295000, 99.9th(us): 920000, 99.99th(us): 983000
UPDATE - Takes(s): 59.8, Count: 420571, OPS: 7037.8, Avg(us): 73005, Min(us): 14817, Max(us): 989650, 99th(us): 291000, 99.9th(us): 900000, 99.99th(us): 981000
UPDATE - Takes(s): 69.8, Count: 494607, OPS: 7090.0, Avg(us): 72420, Min(us): 14817, Max(us): 1093028, 99th(us): 287000, 99.9th(us): 984000, 99.99th(us): 1081000
UPDATE - Takes(s): 79.8, Count: 566827, OPS: 7106.8, Avg(us): 72221, Min(us): 14817, Max(us): 1093028, 99th(us): 295000, 99.9th(us): 966000, 99.99th(us): 1080000
UPDATE - Takes(s): 89.8, Count: 647699, OPS: 7216.0, Avg(us): 71107, Min(us): 14817, Max(us): 1093028, 99th(us): 284000, 99.9th(us): 959000, 99.99th(us): 1080000
UPDATE - Takes(s): 99.8, Count: 682524, OPS: 6841.7, Avg(us): 74961, Min(us): 14817, Max(us): 1093028, 99th(us): 294000, 99.9th(us): 948000, 99.99th(us): 1077000
UPDATE - Takes(s): 109.8, Count: 760400, OPS: 6927.9, Avg(us): 74033, Min(us): 14817, Max(us): 1093028, 99th(us): 286000, 99.9th(us): 938000, 99.99th(us): 1078000
