***************** properties *****************
"readproportion"="0"
"updateproportion"="1"
"operationcount"="5000000"
"scanproportion"="0"
"workload"="core"
"dotransactions"="true"
"requestdistribution"="zipfian"
"tikv.pd"="10.0.0.5:2379"
"readallfields"="true"
"insertproportion"="0"
"recordcount"="1200000"
"threadcount"="512"
**********************************************
UPDATE - Takes(s): 9.8, Count: 67949, OPS: 6959.7, Avg(us): 75171, Min(us): 24343, Max(us): 1135064, 99th(us): 147000, 99.9th(us): 308000, 99.99th(us): 318000
UPDATE - Takes(s): 19.8, Count: 125835, OPS: 6367.1, Avg(us): 81236, Min(us): 18078, Max(us): 1172166, 99th(us): 295000, 99.9th(us): 1093000, 99.99th(us): 1139000
UPDATE - Takes(s): 29.8, Count: 181392, OPS: 6094.5, Avg(us): 81118, Min(us): 18078, Max(us): 2697245, 99th(us): 287000, 99.9th(us): 1632000, 99.99th(us): 1659000
UPDATE - Takes(s): 39.8, Count: 229157, OPS: 5763.0, Avg(us): 89268, Min(us): 16941, Max(us): 2759616, 99th(us): 750000, 99.9th(us): 1628000, 99.99th(us): 2716000
UPDATE - Takes(s): 49.8, Count: 288741, OPS: 5801.7, Avg(us): 88289, Min(us): 16941, Max(us): 2759616, 99th(us): 655000, 99.9th(us): 1619000, 99.99th(us): 2715000
UPDATE - Takes(s): 59.8, Count: 348554, OPS: 5832.2, Avg(us): 88068, Min(us): 16122, Max(us): 2759616, 99th(us): 673000, 99.9th(us): 1611000, 99.99th(us): 2723000
UPDATE - Takes(s): 69.8, Count: 400616, OPS: 5742.5, Avg(us): 89403, Min(us): 16122, Max(us): 2759616, 99th(us): 772000, 99.9th(us): 1606000, 99.99th(us): 2716000
UPDATE - Takes(s): 79.8, Count: 466354, OPS: 5846.7, Avg(us): 87795, Min(us): 16122, Max(us): 2759616, 99th(us): 743000, 99.9th(us): 1596000, 99.99th(us): 2696000
UPDATE - Takes(s): 89.8, Count: 516201, OPS: 5750.7, Avg(us): 89229, Min(us): 11682, Max(us): 2759616, 99th(us): 771000, 99.9th(us): 1388000, 99.99th(us): 2689000
UPDATE - Takes(s): 99.8, Count: 576342, OPS: 5777.1, Avg(us): 88766, Min(us): 11682, Max(us): 2759616, 99th(us): 752000, 99.9th(us): 1363000, 99.99th(us): 1660000
UPDATE - Takes(s): 109.8, Count: 629280, OPS: 5733.0, Avg(us): 89467, Min(us): 11682, Max(us): 2759616, 99th(us): 772000, 99.9th(us): 1357000, 99.99th(us): 1654000
UPDATE - Takes(s): 119.8, Count: 668546, OPS: 5582.2, Avg(us): 91807, Min(us): 11682, Max(us): 2759616, 99th(us): 775000, 99.9th(us): 1356000, 99.99th(us): 1659000
UPDATE - Takes(s): 129.8, Count: 716658, OPS: 5522.8, Avg(us): 92249, Min(us): 11682, Max(us): 2759616, 99th(us): 776000, 99.9th(us): 1349000, 99.99th(us): 1659000
UPDATE - Takes(s): 139.8, Count: 770983, OPS: 5516.3, Avg(us): 92944, Min(us): 11682, Max(us): 2759616, 99th(us): 776000, 99.9th(us): 1347000, 99.99th(us): 1658000
