***************** properties *****************
"readallfields"="true"
"scanproportion"="0"
"recordcount"="1200000"
"workload"="core"
"readproportion"="0"
"tikv.pd"="10.0.0.5:2379"
"dotransactions"="true"
"insertproportion"="0"
"operationcount"="5000000"
"requestdistribution"="zipfian"
"threadcount"="512"
"updateproportion"="1"
**********************************************
UPDATE - Takes(s): 9.7, Count: 49964, OPS: 5125.7, Avg(us): 102128, Min(us): 24419, Max(us): 366949, 99th(us): 294000, 99.9th(us): 358000, 99.99th(us): 365000
UPDATE - Takes(s): 19.7, Count: 95849, OPS: 4853.6, Avg(us): 106551, Min(us): 19389, Max(us): 1087969, 99th(us): 806000, 99.9th(us): 980000, 99.99th(us): 1043000
UPDATE - Takes(s): 29.7, Count: 155569, OPS: 5229.6, Avg(us): 98589, Min(us): 19389, Max(us): 1087969, 99th(us): 360000, 99.9th(us): 966000, 99.99th(us): 1040000
UPDATE - Takes(s): 39.7, Count: 193742, OPS: 4874.3, Avg(us): 105499, Min(us): 19389, Max(us): 1517992, 99th(us): 817000, 99.9th(us): 1442000, 99.99th(us): 1497000
UPDATE - Takes(s): 49.7, Count: 239597, OPS: 4816.2, Avg(us): 106734, Min(us): 19389, Max(us): 1517992, 99th(us): 763000, 99.9th(us): 1384000, 99.99th(us): 1497000
UPDATE - Takes(s): 59.7, Count: 287060, OPS: 4804.5, Avg(us): 105337, Min(us): 17662, Max(us): 1517992, 99th(us): 764000, 99.9th(us): 1370000, 99.99th(us): 1490000
UPDATE - Takes(s): 69.7, Count: 336723, OPS: 4827.7, Avg(us): 106318, Min(us): 17662, Max(us): 1517992, 99th(us): 822000, 99.9th(us): 1360000, 99.99th(us): 1488000
UPDATE - Takes(s): 79.7, Count: 391072, OPS: 4903.8, Avg(us): 104553, Min(us): 17662, Max(us): 1517992, 99th(us): 760000, 99.9th(us): 1348000, 99.99th(us): 1479000
UPDATE - Takes(s): 89.7, Count: 428850, OPS: 4778.4, Avg(us): 107391, Min(us): 9799, Max(us): 1517992, 99th(us): 828000, 99.9th(us): 1341000, 99.99th(us): 1479000
UPDATE - Takes(s): 99.7, Count: 491138, OPS: 4923.7, Avg(us): 104171, Min(us): 9799, Max(us): 1517992, 99th(us): 776000, 99.9th(us): 1317000, 99.99th(us): 1477000
UPDATE - Takes(s): 109.7, Count: 536773, OPS: 4890.9, Avg(us): 104883, Min(us): 9799, Max(us): 1522779, 99th(us): 825000, 99.9th(us): 1453000, 99.99th(us): 1502000
UPDATE - Takes(s): 119.7, Count: 593005, OPS: 4952.1, Avg(us): 103435, Min(us): 9799, Max(us): 1522779, 99th(us): 780000, 99.9th(us): 1446000, 99.99th(us): 1502000
UPDATE - Takes(s): 129.7, Count: 633901, OPS: 4885.6, Avg(us): 104955, Min(us): 9799, Max(us): 1522779, 99th(us): 828000, 99.9th(us): 1437000, 99.99th(us): 1501000
