***************** properties *****************
"readproportion"="0"
"recordcount"="1200000"
"readallfields"="true"
"dotransactions"="true"
"insertproportion"="0"
"tikv.pd"="10.0.0.5:2379"
"threadcount"="512"
"requestdistribution"="zipfian"
"workload"="core"
"updateproportion"="1"
"scanproportion"="0"
"operationcount"="5000000"
**********************************************
UPDATE - Takes(s): 8.3, Count: 1919, OPS: 230.0, Avg(us): 2159099, Min(us): 7193, Max(us): 5593491, 99th(us): 5581000, 99.9th(us): 5594000, 99.99th(us): 5594000
UPDATE - Takes(s): 18.3, Count: 4110, OPS: 224.0, Avg(us): 2257031, Min(us): 6266, Max(us): 7407347, 99th(us): 5591000, 99.9th(us): 6453000, 99.99th(us): 7408000
UPDATE - Takes(s): 28.3, Count: 6354, OPS: 224.2, Avg(us): 2259161, Min(us): 6266, Max(us): 8312194, 99th(us): 5916000, 99.9th(us): 7226000, 99.99th(us): 8313000
UPDATE - Takes(s): 38.3, Count: 8534, OPS: 222.5, Avg(us): 2258883, Min(us): 6266, Max(us): 9920840, 99th(us): 6381000, 99.9th(us): 7871000, 99.99th(us): 9921000
UPDATE - Takes(s): 48.3, Count: 10642, OPS: 220.1, Avg(us): 2280675, Min(us): 6266, Max(us): 11837997, 99th(us): 6949000, 99.9th(us): 9244000, 99.99th(us): 10693000
UPDATE - Takes(s): 58.3, Count: 13107, OPS: 224.6, Avg(us): 2276526, Min(us): 6266, Max(us): 11837997, 99th(us): 7188000, 99.9th(us): 9736000, 99.99th(us): 10956000
UPDATE - Takes(s): 68.3, Count: 15292, OPS: 223.7, Avg(us): 2267218, Min(us): 6266, Max(us): 11837997, 99th(us): 7340000, 99.9th(us): 9497000, 99.99th(us): 10956000
UPDATE - Takes(s): 78.3, Count: 17479, OPS: 223.1, Avg(us): 2262448, Min(us): 6266, Max(us): 11837997, 99th(us): 7413000, 99.9th(us): 9642000, 99.99th(us): 10956000
UPDATE - Takes(s): 88.3, Count: 19505, OPS: 220.8, Avg(us): 2308489, Min(us): 6222, Max(us): 12087337, 99th(us): 7674000, 99.9th(us): 9934000, 99.99th(us): 12024000
UPDATE - Takes(s): 98.3, Count: 21917, OPS: 222.9, Avg(us): 2288011, Min(us): 6222, Max(us): 12087337, 99th(us): 7588000, 99.9th(us): 9912000, 99.99th(us): 11838000
UPDATE - Takes(s): 108.3, Count: 24346, OPS: 224.7, Avg(us): 2272438, Min(us): 6222, Max(us): 12087337, 99th(us): 7515000, 99.9th(us): 9736000, 99.99th(us): 11076000
