***************** properties *****************
"readallfields"="true"
"operationcount"="5000000"
"workload"="core"
"recordcount"="1200000"
"scanproportion"="0"
"tikv.pd"="10.0.0.5:2379"
"dotransactions"="true"
"insertproportion"="0"
"requestdistribution"="zipfian"
"threadcount"="512"
"updateproportion"="1"
"readproportion"="0"
**********************************************
UPDATE - Takes(s): 9.4, Count: 51, OPS: 5.4, Avg(us): 599824, Min(us): 14533, Max(us): 646373, 99th(us): 647000, 99.9th(us): 647000, 99.99th(us): 647000
UPDATE - Takes(s): 19.4, Count: 16571, OPS: 854.9, Avg(us): 508470, Min(us): 10534, Max(us): 12021268, 99th(us): 11885000, 99.9th(us): 12017000, 99.99th(us): 12022000
UPDATE - Takes(s): 29.4, Count: 26584, OPS: 904.7, Avg(us): 577288, Min(us): 10534, Max(us): 14923610, 99th(us): 11979000, 99.9th(us): 14916000, 99.99th(us): 14923000
UPDATE - Takes(s): 39.4, Count: 30618, OPS: 777.4, Avg(us): 509417, Min(us): 10534, Max(us): 14923610, 99th(us): 11940000, 99.9th(us): 14915000, 99.99th(us): 14923000
UPDATE - Takes(s): 49.4, Count: 45109, OPS: 913.5, Avg(us): 534850, Min(us): 10179, Max(us): 14923610, 99th(us): 12008000, 99.9th(us): 14914000, 99.99th(us): 14923000
UPDATE - Takes(s): 59.4, Count: 45132, OPS: 760.0, Avg(us): 536666, Min(us): 9420, Max(us): 14923610, 99th(us): 12008000, 99.9th(us): 14914000, 99.99th(us): 14923000
UPDATE - Takes(s): 69.4, Count: 61314, OPS: 883.7, Avg(us): 537287, Min(us): 9420, Max(us): 15017241, 99th(us): 14883000, 99.9th(us): 14968000, 99.99th(us): 15009000
UPDATE - Takes(s): 79.4, Count: 71734, OPS: 903.6, Avg(us): 570435, Min(us): 9420, Max(us): 15017241, 99th(us): 14887000, 99.9th(us): 14968000, 99.99th(us): 15009000
UPDATE - Takes(s): 89.4, Count: 76599, OPS: 857.0, Avg(us): 538944, Min(us): 9420, Max(us): 15017241, 99th(us): 14880000, 99.9th(us): 14968000, 99.99th(us): 15009000
UPDATE - Takes(s): 99.4, Count: 84771, OPS: 853.0, Avg(us): 585426, Min(us): 9420, Max(us): 15558630, 99th(us): 14876000, 99.9th(us): 14971000, 99.99th(us): 15482000
UPDATE - Takes(s): 109.4, Count: 84968, OPS: 776.8, Avg(us): 587996, Min(us): 9410, Max(us): 15558630, 99th(us): 14876000, 99.9th(us): 14971000, 99.99th(us): 15482000
