***************** properties *****************
"dotransactions"="true"
"threadcount"="512"
"readproportion"="0"
"updateproportion"="1"
"insertproportion"="0"
"requestdistribution"="zipfian"
"operationcount"="5000000"
"workload"="core"
"readallfields"="true"
"scanproportion"="0"
"recordcount"="1200000"
"tikv.pd"="10.0.0.5:2379"
**********************************************
UPDATE - Takes(s): 9.6, Count: 11286, OPS: 1174.7, Avg(us): 397303, Min(us): 9295, Max(us): 8033885, 99th(us): 4852000, 99.9th(us): 6902000, 99.99th(us): 8034000
UPDATE - Takes(s): 19.6, Count: 21740, OPS: 1108.7, Avg(us): 435263, Min(us): 6418, Max(us): 9963539, 99th(us): 5970000, 99.9th(us): 7774000, 99.99th(us): 8394000
UPDATE - Takes(s): 29.6, Count: 30493, OPS: 1029.9, Avg(us): 469305, Min(us): 6168, Max(us): 10979679, 99th(us): 6138000, 99.9th(us): 8144000, 99.99th(us): 10350000
UPDATE - Takes(s): 39.6, Count: 42293, OPS: 1067.8, Avg(us): 462735, Min(us): 6168, Max(us): 10979679, 99th(us): 5847000, 99.9th(us): 8027000, 99.99th(us): 10020000
UPDATE - Takes(s): 49.6, Count: 52892, OPS: 1066.2, Avg(us): 466651, Min(us): 6168, Max(us): 10979679, 99th(us): 5724000, 99.9th(us): 7893000, 99.99th(us): 9964000
UPDATE - Takes(s): 59.6, Count: 63386, OPS: 1063.4, Avg(us): 466543, Min(us): 6168, Max(us): 10979679, 99th(us): 5830000, 99.9th(us): 7951000, 99.99th(us): 9754000
UPDATE - Takes(s): 69.6, Count: 74279, OPS: 1067.1, Avg(us): 470848, Min(us): 6168, Max(us): 10979679, 99th(us): 5682000, 99.9th(us): 7781000, 99.99th(us): 8947000
UPDATE - Takes(s): 79.6, Count: 84739, OPS: 1064.4, Avg(us): 474764, Min(us): 6168, Max(us): 10979679, 99th(us): 5510000, 99.9th(us): 7746000, 99.99th(us): 9080000
UPDATE - Takes(s): 89.6, Count: 95007, OPS: 1060.2, Avg(us): 475011, Min(us): 6041, Max(us): 10979679, 99th(us): 5498000, 99.9th(us): 7680000, 99.99th(us): 9060000
UPDATE - Takes(s): 99.6, Count: 104587, OPS: 1050.0, Avg(us): 484032, Min(us): 6041, Max(us): 10979679, 99th(us): 5431000, 99.9th(us): 7632000, 99.99th(us): 8947000
UPDATE - Takes(s): 109.6, Count: 112600, OPS: 1027.3, Avg(us): 490722, Min(us): 6041, Max(us): 10979679, 99th(us): 5512000, 99.9th(us): 7596000, 99.99th(us): 8806000
