***************** properties *****************
"recordcount"="1200000"
"workload"="core"
"scanproportion"="0"
"requestdistribution"="zipfian"
"threadcount"="512"
"insertproportion"="0"
"operationcount"="5000000"
"tikv.pd"="10.0.0.5:2379"
"dotransactions"="true"
"readproportion"="0"
"readallfields"="true"
"updateproportion"="1"
**********************************************
UPDATE - Takes(s): 9.6, Count: 71527, OPS: 7484.6, Avg(us): 70185, Min(us): 13536, Max(us): 722800, 99th(us): 243000, 99.9th(us): 686000, 99.99th(us): 720000
UPDATE - Takes(s): 19.6, Count: 145335, OPS: 7431.6, Avg(us): 70306, Min(us): 12219, Max(us): 980874, 99th(us): 240000, 99.9th(us): 936000, 99.99th(us): 970000
UPDATE - Takes(s): 29.6, Count: 200538, OPS: 6784.5, Avg(us): 76412, Min(us): 12219, Max(us): 980874, 99th(us): 432000, 99.9th(us): 902000, 99.99th(us): 966000
UPDATE - Takes(s): 39.6, Count: 270721, OPS: 6843.8, Avg(us): 75557, Min(us): 12219, Max(us): 980874, 99th(us): 296000, 99.9th(us): 836000, 99.99th(us): 964000
UPDATE - Takes(s): 49.6, Count: 342034, OPS: 6901.9, Avg(us): 74774, Min(us): 10742, Max(us): 980874, 99th(us): 298000, 99.9th(us): 829000, 99.99th(us): 961000
UPDATE - Takes(s): 59.6, Count: 411562, OPS: 6910.4, Avg(us): 74571, Min(us): 10742, Max(us): 980874, 99th(us): 306000, 99.9th(us): 826000, 99.99th(us): 958000
UPDATE - Takes(s): 69.6, Count: 485401, OPS: 6978.5, Avg(us): 73775, Min(us): 10273, Max(us): 980874, 99th(us): 303000, 99.9th(us): 827000, 99.99th(us): 954000
UPDATE - Takes(s): 79.6, Count: 557057, OPS: 7002.0, Avg(us): 73479, Min(us): 10273, Max(us): 980874, 99th(us): 299000, 99.9th(us): 825000, 99.99th(us): 955000
UPDATE - Takes(s): 89.6, Count: 628218, OPS: 7014.7, Avg(us): 73299, Min(us): 10240, Max(us): 980874, 99th(us): 307000, 99.9th(us): 818000, 99.99th(us): 951000
UPDATE - Takes(s): 99.6, Count: 672887, OPS: 6758.8, Avg(us): 76045, Min(us): 10240, Max(us): 980874, 99th(us): 321000, 99.9th(us): 818000, 99.99th(us): 954000
UPDATE - Takes(s): 109.6, Count: 739928, OPS: 6753.8, Avg(us): 76075, Min(us): 10240, Max(us): 980874, 99th(us): 316000, 99.9th(us): 813000, 99.99th(us): 951000
UPDATE - Takes(s): 119.6, Count: 811967, OPS: 6791.5, Avg(us): 75537, Min(us): 10240, Max(us): 980874, 99th(us): 313000, 99.9th(us): 808000, 99.99th(us): 946000
UPDATE - Takes(s): 129.6, Count: 889632, OPS: 6866.7, Avg(us): 74658, Min(us): 10240, Max(us): 980874, 99th(us): 300000, 99.9th(us): 805000, 99.99th(us): 943000
UPDATE - Takes(s): 139.6, Count: 960579, OPS: 6883.1, Avg(us): 74583, Min(us): 10240, Max(us): 980874, 99th(us): 313000, 99.9th(us): 805000, 99.99th(us): 942000
UPDATE - Takes(s): 149.6, Count: 1027425, OPS: 6869.8, Avg(us): 74712, Min(us): 9271, Max(us): 980874, 99th(us): 340000, 99.9th(us): 807000, 99.99th(us): 942000
UPDATE - Takes(s): 159.6, Count: 1108467, OPS: 6947.2, Avg(us): 73871, Min(us): 9271, Max(us): 980874, 99th(us): 314000, 99.9th(us): 805000, 99.99th(us): 942000
UPDATE - Takes(s): 169.6, Count: 1143201, OPS: 6742.3, Avg(us): 76086, Min(us): 9271, Max(us): 980874, 99th(us): 348000, 99.9th(us): 810000, 99.99th(us): 941000
