***************** properties *****************
"scanproportion"="0"
"insertproportion"="0"
"workload"="core"
"requestdistribution"="zipfian"
"threadcount"="512"
"updateproportion"="1"
"readproportion"="0"
"tikv.pd"="10.0.0.5:2379"
"dotransactions"="true"
"recordcount"="1200000"
"operationcount"="5000000"
"readallfields"="true"
**********************************************
UPDATE - Takes(s): 9.7, Count: 52039, OPS: 5387.4, Avg(us): 97980, Min(us): 22955, Max(us): 492074, 99th(us): 231000, 99.9th(us): 470000, 99.99th(us): 483000
UPDATE - Takes(s): 19.7, Count: 103205, OPS: 5249.7, Avg(us): 98918, Min(us): 22142, Max(us): 1031412, 99th(us): 393000, 99.9th(us): 970000, 99.99th(us): 1017000
UPDATE - Takes(s): 29.7, Count: 164304, OPS: 5539.7, Avg(us): 93240, Min(us): 20000, Max(us): 1031412, 99th(us): 270000, 99.9th(us): 951000, 99.99th(us): 1003000
UPDATE - Takes(s): 39.7, Count: 202743, OPS: 5111.7, Avg(us): 100915, Min(us): 20000, Max(us): 1031412, 99th(us): 517000, 99.9th(us): 949000, 99.99th(us): 1001000
UPDATE - Takes(s): 49.7, Count: 259073, OPS: 5217.0, Avg(us): 98687, Min(us): 20000, Max(us): 1031412, 99th(us): 392000, 99.9th(us): 945000, 99.99th(us): 996000
UPDATE - Takes(s): 59.7, Count: 311632, OPS: 5223.5, Avg(us): 98469, Min(us): 20000, Max(us): 1031412, 99th(us): 453000, 99.9th(us): 943000, 99.99th(us): 993000
UPDATE - Takes(s): 69.7, Count: 373784, OPS: 5365.9, Avg(us): 95790, Min(us): 20000, Max(us): 1031412, 99th(us): 380000, 99.9th(us): 939000, 99.99th(us): 990000
UPDATE - Takes(s): 79.7, Count: 425357, OPS: 5339.7, Avg(us): 95479, Min(us): 20000, Max(us): 1031412, 99th(us): 424000, 99.9th(us): 935000, 99.99th(us): 989000
UPDATE - Takes(s): 89.7, Count: 485991, OPS: 5420.4, Avg(us): 94743, Min(us): 20000, Max(us): 1031412, 99th(us): 403000, 99.9th(us): 887000, 99.99th(us): 988000
UPDATE - Takes(s): 99.7, Count: 541231, OPS: 5430.8, Avg(us): 94353, Min(us): 20000, Max(us): 1031412, 99th(us): 436000, 99.9th(us): 864000, 99.99th(us): 982000
UPDATE - Takes(s): 109.7, Count: 596994, OPS: 5444.1, Avg(us): 94170, Min(us): 20000, Max(us): 1031412, 99th(us): 437000, 99.9th(us): 858000, 99.99th(us): 980000
