***************** properties *****************
"updateproportion"="1"
"requestdistribution"="uniform"
"readproportion"="0"
"scanproportion"="0"
"readallfields"="true"
"tikv.pd"="10.0.0.5:2379"
"insertproportion"="0"
"recordcount"="1200000"
"dotransactions"="true"
"threadcount"="16"
"workload"="core"
"operationcount"="1200000"
**********************************************
UPDATE - Takes(s): 9.2, Count: 1299, OPS: 140.7, Avg(us): 120497, Min(us): 1216, Max(us): 969490, 99th(us): 967000, 99.9th(us): 970000, 99.99th(us): 970000
UPDATE - Takes(s): 19.2, Count: 2718, OPS: 141.3, Avg(us): 116447, Min(us): 1216, Max(us): 977008, 99th(us): 967000, 99.9th(us): 970000, 99.99th(us): 978000
UPDATE - Takes(s): 29.2, Count: 4102, OPS: 140.3, Avg(us): 116158, Min(us): 1157, Max(us): 977008, 99th(us): 968000, 99.9th(us): 971000, 99.99th(us): 978000
UPDATE - Takes(s): 39.2, Count: 5526, OPS: 140.8, Avg(us): 115185, Min(us): 1136, Max(us): 979532, 99th(us): 967000, 99.9th(us): 972000, 99.99th(us): 980000
UPDATE - Takes(s): 49.2, Count: 6979, OPS: 141.8, Avg(us): 114123, Min(us): 1136, Max(us): 979532, 99th(us): 968000, 99.9th(us): 974000, 99.99th(us): 980000
UPDATE - Takes(s): 59.2, Count: 8325, OPS: 140.5, Avg(us): 114887, Min(us): 1047, Max(us): 979532, 99th(us): 967000, 99.9th(us): 974000, 99.99th(us): 980000
UPDATE - Takes(s): 69.2, Count: 9621, OPS: 139.0, Avg(us): 116047, Min(us): 1047, Max(us): 985318, 99th(us): 968000, 99.9th(us): 974000, 99.99th(us): 986000
UPDATE - Takes(s): 79.2, Count: 11083, OPS: 139.9, Avg(us): 115169, Min(us): 1047, Max(us): 985318, 99th(us): 967000, 99.9th(us): 974000, 99.99th(us): 981000
UPDATE - Takes(s): 89.2, Count: 12444, OPS: 139.5, Avg(us): 115437, Min(us): 1047, Max(us): 985318, 99th(us): 967000, 99.9th(us): 974000, 99.99th(us): 981000
UPDATE - Takes(s): 99.2, Count: 13924, OPS: 140.3, Avg(us): 114647, Min(us): 1047, Max(us): 985318, 99th(us): 967000, 99.9th(us): 977000, 99.99th(us): 981000
UPDATE - Takes(s): 109.2, Count: 15341, OPS: 140.4, Avg(us): 114485, Min(us): 1047, Max(us): 985318, 99th(us): 967000, 99.9th(us): 975000, 99.99th(us): 981000
UPDATE - Takes(s): 119.2, Count: 16686, OPS: 139.9, Avg(us): 114847, Min(us): 1047, Max(us): 985318, 99th(us): 967000, 99.9th(us): 976000, 99.99th(us): 981000
UPDATE - Takes(s): 129.2, Count: 18011, OPS: 139.4, Avg(us): 115285, Min(us): 1047, Max(us): 1009989, 99th(us): 968000, 99.9th(us): 980000, 99.99th(us): 1010000
