***************** properties *****************
"scanproportion"="0"
"tikv.pd"="10.0.0.5:2379"
"recordcount"="1200000"
"updateproportion"="1"
"operationcount"="1500000"
"workload"="core"
"dotransactions"="true"
"threadcount"="16"
"readallfields"="true"
"readproportion"="0"
"insertproportion"="0"
"requestdistribution"="uniform"
**********************************************
UPDATE - Takes(s): 5.7, Count: 78, OPS: 13.7, Avg(us): 19764774, Min(us): 1202091, Max(us): 104701253, 99th(us): 104702000, 99.9th(us): 104702000, 99.99th(us): 104702000
UPDATE - Takes(s): 15.7, Count: 210, OPS: 13.4, Avg(us): 8079353, Min(us): 1959, Max(us): 104701253, 99th(us): 104315000, 99.9th(us): 104702000, 99.99th(us): 104702000
UPDATE - Takes(s): 25.7, Count: 385, OPS: 15.0, Avg(us): 4825452, Min(us): 1389, Max(us): 104701253, 99th(us): 104315000, 99.9th(us): 104702000, 99.99th(us): 104702000
UPDATE - Takes(s): 35.7, Count: 581, OPS: 16.3, Avg(us): 3481700, Min(us): 1242, Max(us): 104701253, 99th(us): 104315000, 99.9th(us): 104702000, 99.99th(us): 104702000
UPDATE - Takes(s): 45.7, Count: 750, OPS: 16.4, Avg(us): 2907472, Min(us): 1188, Max(us): 104701253, 99th(us): 104314000, 99.9th(us): 104702000, 99.99th(us): 104702000
UPDATE - Takes(s): 55.7, Count: 921, OPS: 16.5, Avg(us): 2540185, Min(us): 1188, Max(us): 104701253, 99th(us): 104314000, 99.9th(us): 104702000, 99.99th(us): 104702000
UPDATE - Takes(s): 65.7, Count: 1101, OPS: 16.8, Avg(us): 2274860, Min(us): 1188, Max(us): 104701253, 99th(us): 104314000, 99.9th(us): 104701000, 99.99th(us): 104702000
UPDATE - Takes(s): 75.7, Count: 1296, OPS: 17.1, Avg(us): 2054287, Min(us): 1188, Max(us): 104701253, 99th(us): 104314000, 99.9th(us): 104701000, 99.99th(us): 104702000
UPDATE - Takes(s): 85.7, Count: 1473, OPS: 17.2, Avg(us): 1914538, Min(us): 1188, Max(us): 104701253, 99th(us): 1614000, 99.9th(us): 104701000, 99.99th(us): 104702000
UPDATE - Takes(s): 95.7, Count: 1671, OPS: 17.5, Avg(us): 1787134, Min(us): 1188, Max(us): 104701253, 99th(us): 1614000, 99.9th(us): 104701000, 99.99th(us): 104702000
UPDATE - Takes(s): 105.7, Count: 1859, OPS: 17.6, Avg(us): 1691446, Min(us): 1169, Max(us): 104701253, 99th(us): 1614000, 99.9th(us): 104701000, 99.99th(us): 104702000
UPDATE - Takes(s): 115.7, Count: 2030, OPS: 17.5, Avg(us): 1625483, Min(us): 1169, Max(us): 104701253, 99th(us): 1613000, 99.9th(us): 104315000, 99.99th(us): 104702000
UPDATE - Takes(s): 125.7, Count: 2230, OPS: 17.7, Avg(us): 1550477, Min(us): 1169, Max(us): 104701253, 99th(us): 1605000, 99.9th(us): 104315000, 99.99th(us): 104702000
UPDATE - Takes(s): 135.7, Count: 2425, OPS: 17.9, Avg(us): 1493083, Min(us): 1169, Max(us): 104701253, 99th(us): 1274000, 99.9th(us): 104315000, 99.99th(us): 104702000
UPDATE - Takes(s): 145.7, Count: 2626, OPS: 18.0, Avg(us): 1440247, Min(us): 1169, Max(us): 104701253, 99th(us): 1236000, 99.9th(us): 104315000, 99.99th(us): 104702000
UPDATE - Takes(s): 155.7, Count: 2822, OPS: 18.1, Avg(us): 1396531, Min(us): 1169, Max(us): 104701253, 99th(us): 1236000, 99.9th(us): 104315000, 99.99th(us): 104702000
UPDATE - Takes(s): 165.7, Count: 3024, OPS: 18.3, Avg(us): 1356597, Min(us): 1099, Max(us): 104701253, 99th(us): 1234000, 99.9th(us): 104315000, 99.99th(us): 104702000
UPDATE - Takes(s): 175.7, Count: 3221, OPS: 18.3, Avg(us): 1323100, Min(us): 1099, Max(us): 104701253, 99th(us): 1234000, 99.9th(us): 104315000, 99.99th(us): 104702000
UPDATE - Takes(s): 185.7, Count: 3428, OPS: 18.5, Avg(us): 1290279, Min(us): 1099, Max(us): 104701253, 99th(us): 1232000, 99.9th(us): 104315000, 99.99th(us): 104702000

Got signal [interrupt] to exit.
Run finished, takes 5m1.163375533s
UPDATE - Takes(s): 196.8, Count: 3646, OPS: 18.5, Avg(us): 1262355, Min(us): 1099, Max(us): 104701253, 99th(us): 1232000, 99.9th(us): 104315000, 99.99th(us): 104702000
