***************** properties *****************
"tikv.pd"="10.0.0.5:2379"
"dotransactions"="true"
"scanproportion"="0"
"requestdistribution"="uniform"
"threadcount"="16"
"insertproportion"="0"
"recordcount"="1200000"
"operationcount"="1500000"
"updateproportion"="1"
"readallfields"="true"
"readproportion"="0"
"workload"="core"
**********************************************
UPDATE - Takes(s): 9.8, Count: 5465, OPS: 559.8, Avg(us): 29194, Min(us): 898, Max(us): 252983, 99th(us): 97000, 99.9th(us): 251000, 99.99th(us): 253000
UPDATE - Takes(s): 19.8, Count: 8193, OPS: 414.6, Avg(us): 38853, Min(us): 898, Max(us): 488151, 99th(us): 169000, 99.9th(us): 421000, 99.99th(us): 489000
UPDATE - Takes(s): 29.8, Count: 9801, OPS: 329.3, Avg(us): 48816, Min(us): 898, Max(us): 488151, 99th(us): 253000, 99.9th(us): 421000, 99.99th(us): 489000
UPDATE - Takes(s): 39.8, Count: 11260, OPS: 283.2, Avg(us): 56757, Min(us): 898, Max(us): 488151, 99th(us): 268000, 99.9th(us): 441000, 99.99th(us): 466000
UPDATE - Takes(s): 49.8, Count: 12589, OPS: 253.0, Avg(us): 63408, Min(us): 898, Max(us): 488151, 99th(us): 271000, 99.9th(us): 438000, 99.99th(us): 466000
UPDATE - Takes(s): 59.8, Count: 13970, OPS: 233.8, Avg(us): 68538, Min(us): 898, Max(us): 488151, 99th(us): 283000, 99.9th(us): 441000, 99.99th(us): 466000
UPDATE - Takes(s): 69.8, Count: 15366, OPS: 220.3, Avg(us): 72749, Min(us): 898, Max(us): 548375, 99th(us): 293000, 99.9th(us): 446000, 99.99th(us): 541000
UPDATE - Takes(s): 79.8, Count: 16698, OPS: 209.3, Avg(us): 76413, Min(us): 818, Max(us): 548375, 99th(us): 305000, 99.9th(us): 445000, 99.99th(us): 541000
UPDATE - Takes(s): 89.8, Count: 17995, OPS: 200.5, Avg(us): 79748, Min(us): 818, Max(us): 548375, 99th(us): 307000, 99.9th(us): 443000, 99.99th(us): 541000
UPDATE - Takes(s): 99.8, Count: 19143, OPS: 191.9, Avg(us): 83515, Min(us): 818, Max(us): 1019568, 99th(us): 327000, 99.9th(us): 494000, 99.99th(us): 1016000
UPDATE - Takes(s): 109.8, Count: 20309, OPS: 185.0, Avg(us): 86622, Min(us): 818, Max(us): 1019568, 99th(us): 332000, 99.9th(us): 557000, 99.99th(us): 1013000
UPDATE - Takes(s): 119.8, Count: 21450, OPS: 179.1, Avg(us): 89477, Min(us): 818, Max(us): 1019568, 99th(us): 339000, 99.9th(us): 633000, 99.99th(us): 1013000
UPDATE - Takes(s): 129.8, Count: 22567, OPS: 173.9, Avg(us): 92117, Min(us): 818, Max(us): 1019568, 99th(us): 351000, 99.9th(us): 660000, 99.99th(us): 1013000
UPDATE - Takes(s): 139.8, Count: 23694, OPS: 169.5, Avg(us): 94458, Min(us): 818, Max(us): 1019568, 99th(us): 361000, 99.9th(us): 660000, 99.99th(us): 1013000
UPDATE - Takes(s): 149.8, Count: 24638, OPS: 164.5, Avg(us): 97347, Min(us): 818, Max(us): 1125890, 99th(us): 381000, 99.9th(us): 972000, 99.99th(us): 1115000
UPDATE - Takes(s): 159.8, Count: 25683, OPS: 160.8, Avg(us): 99604, Min(us): 818, Max(us): 1125890, 99th(us): 392000, 99.9th(us): 972000, 99.99th(us): 1115000
UPDATE - Takes(s): 169.8, Count: 26656, OPS: 157.0, Avg(us): 101964, Min(us): 818, Max(us): 1125890, 99th(us): 398000, 99.9th(us): 970000, 99.99th(us): 1115000
UPDATE - Takes(s): 179.8, Count: 27647, OPS: 153.8, Avg(us): 104047, Min(us): 818, Max(us): 1125890, 99th(us): 405000, 99.9th(us): 959000, 99.99th(us): 1115000
UPDATE - Takes(s): 189.8, Count: 28669, OPS: 151.1, Avg(us): 105952, Min(us): 818, Max(us): 1125890, 99th(us): 406000, 99.9th(us): 935000, 99.99th(us): 1115000
UPDATE - Takes(s): 199.8, Count: 29529, OPS: 147.8, Avg(us): 108265, Min(us): 818, Max(us): 1125890, 99th(us): 421000, 99.9th(us): 924000, 99.99th(us): 1115000
UPDATE - Takes(s): 209.8, Count: 30135, OPS: 143.7, Avg(us): 111344, Min(us): 818, Max(us): 1170376, 99th(us): 474000, 99.9th(us): 972000, 99.99th(us): 1126000
UPDATE - Takes(s): 219.8, Count: 30834, OPS: 140.3, Avg(us): 114100, Min(us): 818, Max(us): 1170376, 99th(us): 525000, 99.9th(us): 975000, 99.99th(us): 1126000
UPDATE - Takes(s): 229.8, Count: 31522, OPS: 137.2, Avg(us): 116644, Min(us): 818, Max(us): 1251345, 99th(us): 582000, 99.9th(us): 1001000, 99.99th(us): 1221000
UPDATE - Takes(s): 239.8, Count: 32111, OPS: 133.9, Avg(us): 119470, Min(us): 818, Max(us): 1251345, 99th(us): 660000, 99.9th(us): 1039000, 99.99th(us): 1221000
UPDATE - Takes(s): 249.8, Count: 32794, OPS: 131.3, Avg(us): 121819, Min(us): 788, Max(us): 1355671, 99th(us): 704000, 99.9th(us): 1082000, 99.99th(us): 1325000
UPDATE - Takes(s): 259.8, Count: 33348, OPS: 128.4, Avg(us): 124541, Min(us): 788, Max(us): 1549697, 99th(us): 757000, 99.9th(us): 1293000, 99.99th(us): 1545000
