***************** properties *****************
"threadcount"="16"
"readallfields"="true"
"recordcount"="1200000"
"requestdistribution"="uniform"
"readproportion"="0"
"tikv.pd"="10.0.0.5:2379"
"scanproportion"="0"
"insertproportion"="0"
"updateproportion"="1"
"operationcount"="1500000"
"workload"="core"
"dotransactions"="true"
**********************************************
UPDATE - Takes(s): 9.8, Count: 31580, OPS: 3229.0, Avg(us): 5053, Min(us): 1006, Max(us): 225062, 99th(us): 16000, 99.9th(us): 32000, 99.99th(us): 225000
UPDATE - Takes(s): 19.8, Count: 67187, OPS: 3396.7, Avg(us): 4749, Min(us): 863, Max(us): 225062, 99th(us): 15000, 99.9th(us): 31000, 99.99th(us): 221000
UPDATE - Takes(s): 29.8, Count: 102230, OPS: 3432.9, Avg(us): 4683, Min(us): 863, Max(us): 225062, 99th(us): 16000, 99.9th(us): 33000, 99.99th(us): 221000
UPDATE - Takes(s): 39.8, Count: 137882, OPS: 3466.1, Avg(us): 4630, Min(us): 829, Max(us): 225062, 99th(us): 16000, 99.9th(us): 34000, 99.99th(us): 221000
UPDATE - Takes(s): 49.8, Count: 174120, OPS: 3497.8, Avg(us): 4582, Min(us): 811, Max(us): 225062, 99th(us): 16000, 99.9th(us): 33000, 99.99th(us): 81000
UPDATE - Takes(s): 59.8, Count: 208512, OPS: 3488.0, Avg(us): 4592, Min(us): 811, Max(us): 225062, 99th(us): 16000, 99.9th(us): 34000, 99.99th(us): 102000
UPDATE - Takes(s): 69.8, Count: 242128, OPS: 3469.9, Avg(us): 4614, Min(us): 811, Max(us): 225062, 99th(us): 16000, 99.9th(us): 34000, 99.99th(us): 78000
UPDATE - Takes(s): 79.8, Count: 277921, OPS: 3483.6, Avg(us): 4594, Min(us): 811, Max(us): 225062, 99th(us): 16000, 99.9th(us): 33000, 99.99th(us): 77000
UPDATE - Takes(s): 89.8, Count: 312514, OPS: 3480.9, Avg(us): 4596, Min(us): 796, Max(us): 225062, 99th(us): 16000, 99.9th(us): 35000, 99.99th(us): 75000
UPDATE - Takes(s): 99.8, Count: 348318, OPS: 3490.9, Avg(us): 4582, Min(us): 796, Max(us): 225062, 99th(us): 16000, 99.9th(us): 35000, 99.99th(us): 75000
UPDATE - Takes(s): 109.8, Count: 384307, OPS: 3500.7, Avg(us): 4568, Min(us): 796, Max(us): 225062, 99th(us): 16000, 99.9th(us): 34000, 99.99th(us): 75000
