***************** properties *****************
"operationcount"="1500000"
"readproportion"="0"
"scanproportion"="0"
"readallfields"="true"
"threadcount"="16"
"tikv.pd"="10.0.0.13:2379"
"requestdistribution"="uniform"
"workload"="core"
"updateproportion"="1"
"dotransactions"="true"
"insertproportion"="0"
"recordcount"="1200000"
**********************************************
UPDATE - Takes(s): 9.9, Count: 31458, OPS: 3190.1, Avg(us): 5072, Min(us): 903, Max(us): 152036, 99th(us): 23000, 99.9th(us): 56000, 99.99th(us): 143000
UPDATE - Takes(s): 19.9, Count: 62690, OPS: 3156.4, Avg(us): 5091, Min(us): 889, Max(us): 152036, 99th(us): 23000, 99.9th(us): 51000, 99.99th(us): 141000
UPDATE - Takes(s): 29.9, Count: 93809, OPS: 3141.5, Avg(us): 5104, Min(us): 785, Max(us): 152036, 99th(us): 23000, 99.9th(us): 51000, 99.99th(us): 140000
UPDATE - Takes(s): 39.9, Count: 126173, OPS: 3165.3, Avg(us): 5059, Min(us): 785, Max(us): 152036, 99th(us): 23000, 99.9th(us): 42000, 99.99th(us): 126000
UPDATE - Takes(s): 49.9, Count: 157941, OPS: 3167.6, Avg(us): 5052, Min(us): 726, Max(us): 152036, 99th(us): 23000, 99.9th(us): 40000, 99.99th(us): 140000
UPDATE - Takes(s): 59.9, Count: 189371, OPS: 3163.5, Avg(us): 5056, Min(us): 726, Max(us): 152036, 99th(us): 23000, 99.9th(us): 40000, 99.99th(us): 121000
UPDATE - Takes(s): 69.9, Count: 219809, OPS: 3146.4, Avg(us): 5082, Min(us): 726, Max(us): 152036, 99th(us): 23000, 99.9th(us): 42000, 99.99th(us): 121000
UPDATE - Takes(s): 79.9, Count: 251239, OPS: 3146.0, Avg(us): 5082, Min(us): 726, Max(us): 152036, 99th(us): 23000, 99.9th(us): 42000, 99.99th(us): 98000
UPDATE - Takes(s): 89.9, Count: 283132, OPS: 3150.8, Avg(us): 5072, Min(us): 726, Max(us): 152036, 99th(us): 22000, 99.9th(us): 43000, 99.99th(us): 97000
UPDATE - Takes(s): 99.9, Count: 315172, OPS: 3156.1, Avg(us): 5064, Min(us): 726, Max(us): 152036, 99th(us): 22000, 99.9th(us): 43000, 99.99th(us): 99000
UPDATE - Takes(s): 109.9, Count: 346935, OPS: 3157.9, Avg(us): 5060, Min(us): 726, Max(us): 152036, 99th(us): 22000, 99.9th(us): 44000, 99.99th(us): 97000
UPDATE - Takes(s): 119.9, Count: 378260, OPS: 3155.8, Avg(us): 5063, Min(us): 726, Max(us): 152036, 99th(us): 22000, 99.9th(us): 44000, 99.99th(us): 97000
UPDATE - Takes(s): 129.9, Count: 409825, OPS: 3155.9, Avg(us): 5062, Min(us): 726, Max(us): 152036, 99th(us): 22000, 99.9th(us): 44000, 99.99th(us): 97000
