***************** properties *****************
"tikv.pd"="10.0.0.5:2379"
"operationcount"="500000"
"workload"="core"
"recordcount"="500000"
"dotransactions"="true"
"requestdistribution"="uniform"
"readallfields"="true"
"readproportion"="0"
"updateproportion"="1"
"insertproportion"="0"
"scanproportion"="0"
**********************************************
UPDATE - Takes(s): 9.8, Count: 4932, OPS: 503.7, Avg(us): 2011, Min(us): 1057, Max(us): 208581, 99th(us): 10000, 99.9th(us): 29000, 99.99th(us): 209000
UPDATE - Takes(s): 19.8, Count: 9743, OPS: 492.3, Avg(us): 2036, Min(us): 1042, Max(us): 208581, 99th(us): 11000, 99.9th(us): 27000, 99.99th(us): 209000
UPDATE - Takes(s): 29.8, Count: 14484, OPS: 486.2, Avg(us): 2055, Min(us): 1036, Max(us): 208581, 99th(us): 12000, 99.9th(us): 27000, 99.99th(us): 41000
UPDATE - Takes(s): 39.8, Count: 19271, OPS: 484.3, Avg(us): 2058, Min(us): 1036, Max(us): 208581, 99th(us): 12000, 99.9th(us): 28000, 99.99th(us): 56000
UPDATE - Takes(s): 49.8, Count: 23906, OPS: 480.1, Avg(us): 2074, Min(us): 1019, Max(us): 208581, 99th(us): 12000, 99.9th(us): 28000, 99.99th(us): 41000
UPDATE - Takes(s): 59.8, Count: 28542, OPS: 477.4, Avg(us): 2085, Min(us): 1018, Max(us): 208581, 99th(us): 12000, 99.9th(us): 28000, 99.99th(us): 41000
UPDATE - Takes(s): 69.8, Count: 33775, OPS: 483.9, Avg(us): 2056, Min(us): 1014, Max(us): 208581, 99th(us): 12000, 99.9th(us): 28000, 99.99th(us): 38000
UPDATE - Takes(s): 79.8, Count: 38578, OPS: 483.5, Avg(us): 2057, Min(us): 1014, Max(us): 208581, 99th(us): 12000, 99.9th(us): 27000, 99.99th(us): 38000
UPDATE - Takes(s): 89.8, Count: 43364, OPS: 482.9, Avg(us): 2059, Min(us): 1008, Max(us): 208581, 99th(us): 12000, 99.9th(us): 27000, 99.99th(us): 40000
UPDATE - Takes(s): 99.8, Count: 48169, OPS: 482.7, Avg(us): 2059, Min(us): 1008, Max(us): 208581, 99th(us): 12000, 99.9th(us): 27000, 99.99th(us): 42000
UPDATE - Takes(s): 109.8, Count: 53123, OPS: 483.9, Avg(us): 2054, Min(us): 980, Max(us): 208581, 99th(us): 12000, 99.9th(us): 27000, 99.99th(us): 41000
UPDATE - Takes(s): 119.8, Count: 57827, OPS: 482.7, Avg(us): 2058, Min(us): 980, Max(us): 208581, 99th(us): 12000, 99.9th(us): 27000, 99.99th(us): 41000
UPDATE - Takes(s): 129.8, Count: 62767, OPS: 483.6, Avg(us): 2054, Min(us): 980, Max(us): 208581, 99th(us): 12000, 99.9th(us): 28000, 99.99th(us): 40000
UPDATE - Takes(s): 139.8, Count: 67618, OPS: 483.7, Avg(us): 2054, Min(us): 977, Max(us): 208581, 99th(us): 12000, 99.9th(us): 28000, 99.99th(us): 41000
UPDATE - Takes(s): 149.8, Count: 72510, OPS: 484.1, Avg(us): 2052, Min(us): 977, Max(us): 208581, 99th(us): 12000, 99.9th(us): 28000, 99.99th(us): 41000
UPDATE - Takes(s): 159.8, Count: 77332, OPS: 484.0, Avg(us): 2052, Min(us): 972, Max(us): 208581, 99th(us): 12000, 99.9th(us): 28000, 99.99th(us): 42000
UPDATE - Takes(s): 169.8, Count: 81978, OPS: 482.8, Avg(us): 2057, Min(us): 972, Max(us): 208581, 99th(us): 12000, 99.9th(us): 28000, 99.99th(us): 42000
UPDATE - Takes(s): 179.8, Count: 86680, OPS: 482.1, Avg(us): 2060, Min(us): 972, Max(us): 208581, 99th(us): 12000, 99.9th(us): 28000, 99.99th(us): 42000
UPDATE - Takes(s): 189.8, Count: 91457, OPS: 481.9, Avg(us): 2061, Min(us): 972, Max(us): 208581, 99th(us): 12000, 99.9th(us): 28000, 99.99th(us): 41000
UPDATE - Takes(s): 199.8, Count: 96075, OPS: 480.9, Avg(us): 2065, Min(us): 972, Max(us): 208581, 99th(us): 12000, 99.9th(us): 28000, 99.99th(us): 42000
UPDATE - Takes(s): 209.8, Count: 100973, OPS: 481.3, Avg(us): 2063, Min(us): 972, Max(us): 208581, 99th(us): 12000, 99.9th(us): 28000, 99.99th(us): 41000
UPDATE - Takes(s): 219.8, Count: 105949, OPS: 482.0, Avg(us): 2060, Min(us): 972, Max(us): 208581, 99th(us): 12000, 99.9th(us): 28000, 99.99th(us): 43000
UPDATE - Takes(s): 229.8, Count: 110916, OPS: 482.7, Avg(us): 2057, Min(us): 972, Max(us): 208581, 99th(us): 12000, 99.9th(us): 28000, 99.99th(us): 42000
UPDATE - Takes(s): 239.8, Count: 115668, OPS: 482.4, Avg(us): 2058, Min(us): 972, Max(us): 208581, 99th(us): 12000, 99.9th(us): 28000, 99.99th(us): 42000
UPDATE - Takes(s): 249.8, Count: 120952, OPS: 484.2, Avg(us): 2050, Min(us): 972, Max(us): 208581, 99th(us): 12000, 99.9th(us): 28000, 99.99th(us): 41000
UPDATE - Takes(s): 259.8, Count: 125654, OPS: 483.7, Avg(us): 2052, Min(us): 972, Max(us): 208581, 99th(us): 12000, 99.9th(us): 28000, 99.99th(us): 41000
