***************** properties *****************
"tikv.pd"="10.0.0.5:2379"
"readproportion"="0"
"insertproportion"="0"
"workload"="core"
"recordcount"="500000"
"requestdistribution"="uniform"
"operationcount"="500000"
"updateproportion"="1"
"scanproportion"="0"
"readallfields"="true"
"dotransactions"="true"
**********************************************
UPDATE - Takes(s): 9.8, Count: 561, OPS: 57.5, Avg(us): 17629, Min(us): 1402, Max(us): 901248, 99th(us): 863000, 99.9th(us): 902000, 99.99th(us): 902000
UPDATE - Takes(s): 19.8, Count: 1111, OPS: 56.2, Avg(us): 17894, Min(us): 1401, Max(us): 940070, 99th(us): 877000, 99.9th(us): 905000, 99.99th(us): 941000
UPDATE - Takes(s): 29.8, Count: 1705, OPS: 57.3, Avg(us): 17528, Min(us): 1315, Max(us): 940070, 99th(us): 881000, 99.9th(us): 919000, 99.99th(us): 941000
UPDATE - Takes(s): 39.8, Count: 2331, OPS: 58.6, Avg(us): 17093, Min(us): 1315, Max(us): 940070, 99th(us): 871000, 99.9th(us): 919000, 99.99th(us): 941000
UPDATE - Takes(s): 49.8, Count: 2986, OPS: 60.0, Avg(us): 16711, Min(us): 1315, Max(us): 949004, 99th(us): 867000, 99.9th(us): 936000, 99.99th(us): 950000
UPDATE - Takes(s): 59.8, Count: 3657, OPS: 61.2, Avg(us): 16375, Min(us): 1165, Max(us): 961590, 99th(us): 862000, 99.9th(us): 936000, 99.99th(us): 962000
UPDATE - Takes(s): 69.8, Count: 4232, OPS: 60.7, Avg(us): 16487, Min(us): 1165, Max(us): 961590, 99th(us): 861000, 99.9th(us): 936000, 99.99th(us): 962000
UPDATE - Takes(s): 79.8, Count: 4830, OPS: 60.6, Avg(us): 16528, Min(us): 1165, Max(us): 961590, 99th(us): 862000, 99.9th(us): 936000, 99.99th(us): 962000
UPDATE - Takes(s): 89.8, Count: 5409, OPS: 60.3, Avg(us): 16595, Min(us): 1165, Max(us): 961590, 99th(us): 863000, 99.9th(us): 925000, 99.99th(us): 962000
UPDATE - Takes(s): 99.8, Count: 5999, OPS: 60.1, Avg(us): 16628, Min(us): 1165, Max(us): 961590, 99th(us): 864000, 99.9th(us): 941000, 99.99th(us): 962000
UPDATE - Takes(s): 109.8, Count: 6707, OPS: 61.1, Avg(us): 16368, Min(us): 1165, Max(us): 961590, 99th(us): 862000, 99.9th(us): 936000, 99.99th(us): 962000
UPDATE - Takes(s): 119.8, Count: 7508, OPS: 62.7, Avg(us): 15958, Min(us): 1165, Max(us): 961590, 99th(us): 860000, 99.9th(us): 925000, 99.99th(us): 962000
UPDATE - Takes(s): 129.8, Count: 8264, OPS: 63.7, Avg(us): 15711, Min(us): 1160, Max(us): 961590, 99th(us): 858000, 99.9th(us): 923000, 99.99th(us): 962000
UPDATE - Takes(s): 139.8, Count: 9018, OPS: 64.5, Avg(us): 15501, Min(us): 1160, Max(us): 961590, 99th(us): 855000, 99.9th(us): 922000, 99.99th(us): 962000
UPDATE - Takes(s): 149.8, Count: 9778, OPS: 65.3, Avg(us): 15315, Min(us): 1160, Max(us): 961590, 99th(us): 853000, 99.9th(us): 922000, 99.99th(us): 962000
UPDATE - Takes(s): 159.8, Count: 10447, OPS: 65.4, Avg(us): 15279, Min(us): 1160, Max(us): 961590, 99th(us): 850000, 99.9th(us): 921000, 99.99th(us): 950000
UPDATE - Takes(s): 169.8, Count: 11125, OPS: 65.5, Avg(us): 15261, Min(us): 1160, Max(us): 977804, 99th(us): 853000, 99.9th(us): 921000, 99.99th(us): 962000
UPDATE - Takes(s): 179.8, Count: 11818, OPS: 65.7, Avg(us): 15213, Min(us): 1160, Max(us): 983078, 99th(us): 851000, 99.9th(us): 922000, 99.99th(us): 978000
UPDATE - Takes(s): 189.8, Count: 12558, OPS: 66.2, Avg(us): 15108, Min(us): 1160, Max(us): 983078, 99th(us): 850000, 99.9th(us): 921000, 99.99th(us): 978000
UPDATE - Takes(s): 199.8, Count: 13317, OPS: 66.7, Avg(us): 14999, Min(us): 1160, Max(us): 983078, 99th(us): 849000, 99.9th(us): 921000, 99.99th(us): 978000
UPDATE - Takes(s): 209.8, Count: 13997, OPS: 66.7, Avg(us): 14982, Min(us): 1160, Max(us): 983078, 99th(us): 849000, 99.9th(us): 921000, 99.99th(us): 978000
UPDATE - Takes(s): 219.8, Count: 14741, OPS: 67.1, Avg(us): 14902, Min(us): 1160, Max(us): 983078, 99th(us): 846000, 99.9th(us): 921000, 99.99th(us): 978000
UPDATE - Takes(s): 229.8, Count: 15499, OPS: 67.5, Avg(us): 14820, Min(us): 1160, Max(us): 983078, 99th(us): 846000, 99.9th(us): 921000, 99.99th(us): 978000
UPDATE - Takes(s): 239.8, Count: 16304, OPS: 68.0, Avg(us): 14699, Min(us): 1160, Max(us): 983078, 99th(us): 844000, 99.9th(us): 920000, 99.99th(us): 978000
UPDATE - Takes(s): 249.8, Count: 17067, OPS: 68.3, Avg(us): 14628, Min(us): 1160, Max(us): 983078, 99th(us): 843000, 99.9th(us): 920000, 99.99th(us): 978000
UPDATE - Takes(s): 259.8, Count: 17946, OPS: 69.1, Avg(us): 14468, Min(us): 1160, Max(us): 983078, 99th(us): 841000, 99.9th(us): 920000, 99.99th(us): 978000
UPDATE - Takes(s): 269.8, Count: 18790, OPS: 69.7, Avg(us): 14351, Min(us): 1160, Max(us): 983078, 99th(us): 839000, 99.9th(us): 919000, 99.99th(us): 978000
UPDATE - Takes(s): 279.8, Count: 19606, OPS: 70.1, Avg(us): 14263, Min(us): 1160, Max(us): 983078, 99th(us): 837000, 99.9th(us): 919000, 99.99th(us): 978000
UPDATE - Takes(s): 289.8, Count: 20469, OPS: 70.6, Avg(us): 14149, Min(us): 1160, Max(us): 983078, 99th(us): 836000, 99.9th(us): 919000, 99.99th(us): 962000
UPDATE - Takes(s): 299.8, Count: 21332, OPS: 71.2, Avg(us): 14044, Min(us): 1160, Max(us): 983078, 99th(us): 835000, 99.9th(us): 919000, 99.99th(us): 962000
UPDATE - Takes(s): 309.8, Count: 22186, OPS: 71.6, Avg(us): 13954, Min(us): 1106, Max(us): 983078, 99th(us): 833000, 99.9th(us): 918000, 99.99th(us): 962000
UPDATE - Takes(s): 319.8, Count: 23028, OPS: 72.0, Avg(us): 13878, Min(us): 1106, Max(us): 983078, 99th(us): 832000, 99.9th(us): 917000, 99.99th(us): 962000
UPDATE - Takes(s): 329.8, Count: 23877, OPS: 72.4, Avg(us): 13802, Min(us): 1106, Max(us): 983078, 99th(us): 832000, 99.9th(us): 917000, 99.99th(us): 962000
UPDATE - Takes(s): 339.8, Count: 24751, OPS: 72.8, Avg(us): 13719, Min(us): 1106, Max(us): 983078, 99th(us): 830000, 99.9th(us): 914000, 99.99th(us): 962000
UPDATE - Takes(s): 349.8, Count: 25583, OPS: 73.1, Avg(us): 13663, Min(us): 1106, Max(us): 983078, 99th(us): 830000, 99.9th(us): 912000, 99.99th(us): 962000
UPDATE - Takes(s): 359.8, Count: 26523, OPS: 73.7, Avg(us): 13556, Min(us): 1106, Max(us): 983078, 99th(us): 828000, 99.9th(us): 911000, 99.99th(us): 962000
UPDATE - Takes(s): 369.8, Count: 27376, OPS: 74.0, Avg(us): 13498, Min(us): 1106, Max(us): 983078, 99th(us): 827000, 99.9th(us): 911000, 99.99th(us): 962000
UPDATE - Takes(s): 379.8, Count: 28123, OPS: 74.1, Avg(us): 13493, Min(us): 1106, Max(us): 990992, 99th(us): 825000, 99.9th(us): 911000, 99.99th(us): 978000
UPDATE - Takes(s): 389.8, Count: 28903, OPS: 74.2, Avg(us): 13475, Min(us): 1106, Max(us): 990992, 99th(us): 825000, 99.9th(us): 912000, 99.99th(us): 978000
UPDATE - Takes(s): 399.8, Count: 29726, OPS: 74.4, Avg(us): 13438, Min(us): 1106, Max(us): 990992, 99th(us): 824000, 99.9th(us): 912000, 99.99th(us): 978000
UPDATE - Takes(s): 409.8, Count: 30599, OPS: 74.7, Avg(us): 13380, Min(us): 1106, Max(us): 990992, 99th(us): 824000, 99.9th(us): 911000, 99.99th(us): 962000
UPDATE - Takes(s): 419.8, Count: 31400, OPS: 74.8, Avg(us): 13357, Min(us): 1106, Max(us): 995980, 99th(us): 824000, 99.9th(us): 911000, 99.99th(us): 978000
UPDATE - Takes(s): 429.8, Count: 32089, OPS: 74.7, Avg(us): 13382, Min(us): 1106, Max(us): 995980, 99th(us): 824000, 99.9th(us): 912000, 99.99th(us): 984000
