***************** properties *****************
"scanproportion"="0"
"insertproportion"="0"
"operationcount"="500000"
"dotransactions"="true"
"readproportion"="0"
"workload"="core"
"recordcount"="500000"
"requestdistribution"="uniform"
"tikv.pd"="10.0.0.5:2379"
"readallfields"="true"
"updateproportion"="1"
**********************************************
UPDATE - Takes(s): 9.4, Count: 338, OPS: 36.1, Avg(us): 28804, Min(us): 1539, Max(us): 1967851, 99th(us): 915000, 99.9th(us): 1968000, 99.99th(us): 1968000
UPDATE - Takes(s): 19.4, Count: 825, OPS: 42.6, Avg(us): 23997, Min(us): 1307, Max(us): 1967851, 99th(us): 910000, 99.9th(us): 1968000, 99.99th(us): 1968000
UPDATE - Takes(s): 29.4, Count: 1348, OPS: 45.9, Avg(us): 22045, Min(us): 1307, Max(us): 1967851, 99th(us): 870000, 99.9th(us): 1876000, 99.99th(us): 1968000
UPDATE - Takes(s): 39.4, Count: 1935, OPS: 49.2, Avg(us): 20540, Min(us): 1307, Max(us): 1967851, 99th(us): 869000, 99.9th(us): 1876000, 99.99th(us): 1968000
UPDATE - Takes(s): 49.4, Count: 2564, OPS: 52.0, Avg(us): 19421, Min(us): 1217, Max(us): 1967851, 99th(us): 869000, 99.9th(us): 952000, 99.99th(us): 1968000
UPDATE - Takes(s): 59.4, Count: 3096, OPS: 52.2, Avg(us): 19263, Min(us): 1217, Max(us): 1967851, 99th(us): 866000, 99.9th(us): 944000, 99.99th(us): 1968000
UPDATE - Takes(s): 69.4, Count: 3654, OPS: 52.7, Avg(us): 19080, Min(us): 1217, Max(us): 1967851, 99th(us): 866000, 99.9th(us): 952000, 99.99th(us): 1968000
UPDATE - Takes(s): 79.4, Count: 4267, OPS: 53.8, Avg(us): 18694, Min(us): 1217, Max(us): 1967851, 99th(us): 864000, 99.9th(us): 944000, 99.99th(us): 1968000
UPDATE - Takes(s): 89.4, Count: 4873, OPS: 54.5, Avg(us): 18417, Min(us): 1217, Max(us): 1967851, 99th(us): 861000, 99.9th(us): 944000, 99.99th(us): 1968000
UPDATE - Takes(s): 99.4, Count: 5459, OPS: 54.9, Avg(us): 18261, Min(us): 1146, Max(us): 1967851, 99th(us): 859000, 99.9th(us): 939000, 99.99th(us): 1968000
UPDATE - Takes(s): 109.4, Count: 6086, OPS: 55.7, Avg(us): 18031, Min(us): 1146, Max(us): 1967851, 99th(us): 859000, 99.9th(us): 939000, 99.99th(us): 1968000
UPDATE - Takes(s): 119.4, Count: 6535, OPS: 54.8, Avg(us): 18321, Min(us): 1146, Max(us): 1967851, 99th(us): 859000, 99.9th(us): 953000, 99.99th(us): 1968000
